ID	Length	pLDDT	Domain architecture	Taxonomy	Dominating topology	Dom. top. frequency
A0A419ENC1	815	79,54	PF12796;PF08487;PF13768;	Candidatus Abyssubacteria bacterium SURF_17	6_3	0,85
A0A7X7EN55	885	77,11	PF12796;PF08487;PF13768;	Clostridiaceae bacterium	6_3	0,77
A0A7W6VEL8	789	75,56	PF08487;PF13768;	Rhizobium etli	6_3	1
A0A7V8U0S0	795	77,63	PF08487;PF13768;	Rhizobium sp. WYCCWR 11146	6_3	0,99
A0A7W8X5I8	780	75,79	PF08487;PF13768;	Rhizobium giardinii	6_3	0,99
A0A839F884	752	82,25	PF08487;PF13768;	Phyllobacterium sp. P30BS-XVII	6_3	0,98
A0A2U8QJ36	753	81,17	PF08487;PF13768;	Bradyrhizobium symbiodeficiens	6_3	0,98
A0A366WIJ1	714	79,62	PF08487;PF13768;	Marinobacter sp. F3R11	6_3	0,98
A0A7W5XQ72	794	78,48	PF08487;PF13768;	Rhizobium sp. BK619	6_3	0,98
A0A1B1C9W7	795	75,62	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,98
A0A1C0SPK0	781	75,03	PF08487;PF13768;	Ensifer sp. LC54	6_3	0,98
A0A7K3V677	795	75,02	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,98
S3HGH9	778	74,88	PF08487;PF13768;	Rhizobium grahamii CCGE 502	6_3	0,98
A0A0Q7C0J6	686		PF08487;PF13768;	Variovorax sp. Root411	6_3	0,98
A0A2T3D197	781		PF08487;PF13768;	Ensifer sp. NM-2	6_3	0,98
A0A0S3F2M5	707	81,79	PF08487;PF13768;	Sphingobium baderi	6_3	0,97
A0A1M7TPH3	765	80,46	PF08487;PF13768;	Bradyrhizobium erythrophlei	6_3	0,97
A0A2D8XLS2	749	80,44	PF08487;PF13768;	Parvibaculum sp	6_3	0,97
A0A7C6VYW2	723	80,07	PF08487;PF13768;	Xanthomonadaceae bacterium	6_3	0,97
A0A370KPW8	778	79,56	PF08487;PF13768;	Rhizobium grahamii	6_3	0,97
A0A7Y0KUH5	750	77,83	PF08487;PF13768;	Thalassotalea sp. Y01	6_3	0,97
A0A4R0B2C9	794	77,34	PF08487;PF13768;	Rhizobium leguminosarum bv. viciae	6_3	0,97
A0A154IBA2	795	77,32	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,97
A0A2D8RWK5	760	77,14	PF08487;PF13768;	Parvibaculum sp	6_3	0,97
A0A1C0SM02	784	76,6	PF08487;PF13768;	Ensifer sp. LC14	6_3	0,97
A0A3B8XRF0	763	75,85	PF08487;PF13768;	Rhodobiaceae bacterium	6_3	0,97
A0A4Y6PTS5	757	75,64	PF08487;PF13768;	Persicimonas caeni	6_3	0,97
A0A3S4A9Z1	791	75,09	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,97
A0A1H8HBB6	778	73,76	PF08487;PF13768;	Rhizobium tibeticum	6_3	0,97
A0A137SIW3	712	83,56	PF08487;PF13768;	Marinobacter excellens LAMA 842	6_3	0,96
A0A6I4V4V0	713	83,34	PF08487;PF13768;	Pontixanthobacter luteolus	6_3	0,96
A0A389MSH6	723	82,82	PF08487;PF13768;	Methylobacterium sp	6_3	0,96
A0A1Y0FY29	712	82,63	PF08487;PF13768;	Cellvibrio sp. PSBB006	6_3	0,96
K0D5V8	712	82,58	PF08487;PF13768;	Alteromonas macleodii (strain Black Sea 11)	6_3	0,96
A0A839EPV9	755	81,53	PF08487;PF13768;	Phyllobacterium myrsinacearum	6_3	0,96
A0A211ZRK1	748	80,08	PF08487;PF13768;	Inquilinus limosus	6_3	0,96
A0A4S5J6X7	779	79,8	PF08487;PF13768;	Ensifer sp. MPMI2T	6_3	0,96
A0A7U9ND41	675	79,6	PF08487;PF13768;	Lachnospiraceae bacterium	6_3	0,96
A0A5J4DX67	779	79,16	PF08487;PF13768;	bacterium MnTg02	6_3	0,96
J0V3B7	795	79,14	PF08487;PF13768;	Rhizobium leguminosarum bv. viciae (strain WSM1455)	6_3	0,96
A0A7Y3WV95	748	78,59	PF08487;PF13768;	Brucella pseudogrignonensis	6_3	0,96
A0A1I2ZR07	682	78,41	PF08487;PF13768;	Lachnospiraceae bacterium NLAE-zl-G231	6_3	0,96
A0A4Q1TZX1	795	78,06	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,96
A0A6L9UBQ0	752	78,03	PF08487;PF13768;	Rhizobium lusitanum	6_3	0,96
A0A2E2XQR8	741	77,6	PF08487;PF13768;	Maricaulis sp	6_3	0,96
A0A179BQM4	795	77,46	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,96
A0A7Y3WJ36	795	76,82	PF08487;PF13768;	Rhizobium sophorae	6_3	0,96
A0A246TQ20	778	76,56	PF08487;PF13768;	Rhizobium sp. R72	6_3	0,96
A0A2S9QGA3	751	76,17	PF08487;PF13768;	Labrys okinawensis	6_3	0,96
A0A413VZH9	681	76,12	PF08487;PF13768;	Enterocloster aldenensis	6_3	0,96
A0A1G9XC24	784	76,11	PF08487;PF13768;	Ensifer sp. YR511	6_3	0,96
A0A2D0ABJ3	793	75,87	PF08487;PF13768;	Rhizobium esperanzae	6_3	0,96
A0A2D0B3H9	778	75,76	PF08487;PF13768;	Rhizobium sp. R693	6_3	0,96
A0A2E1EE99	763	75,71	PF08487;PF13768;	Parvibaculum sp	6_3	0,96
A0A5C8TEM6	730	75,66	PF08487;PF13768;	Methylobacterium sp. WL64	6_3	0,96
A0A4Q8Y1M1	795	75,41	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,96
A0A854XXC6	794	75,14	PF08487;PF13768;	Rhizobium phaseoli	6_3	0,96
J0CBG4	794	74,98	PF08487;PF13768;	Rhizobium leguminosarum bv. trifolii WSM2297	6_3	0,96
A0A7W6MDV8	793	74,43	PF08487;PF13768;	Rhizobium aethiopicum	6_3	0,96
A0A2A6JUM3	784	74,22	PF08487;PF13768;	Rhizobium sp. J15	6_3	0,96
A0A1S1PQC5	794	73,73	PF08487;PF13768;	Rhizobium sp. RSm-3	6_3	0,96
A0A444I129	795	73,55	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,96
A0A351CLA9	668	84,53	PF08487;PF13768;	Gammaproteobacteria bacterium	6_3	0,95
A0A4R3XZC2	722	83,75	PF08487;PF13768;	Sulfurirhabdus autotrophica	6_3	0,95
A0A212QHR9	703	83,68	PF08487;PF13768;	Marinobacter sp. es.042	6_3	0,95
A0A1Y5TDS4	734	82,55	PF08487;PF13768;	Oceanibacterium hippocampi	6_3	0,95
A0A4Y9USN8	754	80,93	PF08487;PF13768;	Bradyrhizobium sp. MOS001	6_3	0,95
A0A150ZI04	753	80,88	PF08487;PF13768;	Bradyrhizobium sp. DOA1	6_3	0,95
A0A0X8CNV0	753	80,83	PF08487;PF13768;	Bradyrhizobium sp. CCGE-LA001	6_3	0,95
A0A2W5K5I2	745	80,81	PF08487;PF13768;	Starkeya novella (Thiobacillus novellus)	6_3	0,95
A0A4E0Q2W1	754	80,75	PF08487;PF13768;	Bradyrhizobium yuanmingense	6_3	0,95
A0A1Y6KRY4	755	80,4	PF08487;PF13768;	Bradyrhizobium sp. ORS 285	6_3	0,95
A0A238KUU8	689	80,38	PF08487;PF13768;	Actibacterium lipolyticum	6_3	0,95
A0A5P6P562	754	80,13	PF08487;PF13768;	Bradyrhizobium betae	6_3	0,95
A0A6N7LHN1	778	80,07	PF08487;PF13768;	Sinorhizobium terangae	6_3	0,95
A0A286AJB1	687	79,28	PF08487;PF13768;	Variovorax sp. YR752	6_3	0,95
A0A2E3P3H9	796	79,26	PF08487;PF13768;	Magnetovibrio sp	6_3	0,95
A0A525CNS5	753	79,21	PF08487;PF13768;	Gammaproteobacteria bacterium	6_3	0,95
A0A0T7A4R1	784	79,17	PF08487;PF13768;	Sinorhizobium sp. GL28	6_3	0,95
A0A1I6GZV2	713	78,99	PF08487;PF13768;	Marinobacter gudaonensis	6_3	0,95
A0A2G6MXZ3	672	78,67	PF08487;PF13768;	Desulfobacterales bacterium	6_3	0,95
A0A669C1G0	828	78,56	PF08487;PF13768;	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	6_3	0,95
A0A1M7A5S6	757	78,53	PF08487;PF13768;	Bradyrhizobium lablabi	6_3	0,95
A0A7Y4WRA6	743	77,98	PF08487;PF13768;	Alphaproteobacteria bacterium	6_3	0,95
W7WBQ2	711	77,9	PF08487;PF13768;	Methylibium sp. T29	6_3	0,95
A0A416HR66	683	77,88	PF08487;PF13768;	Eisenbergiella sp. OF01-20	6_3	0,95
A0A640JAG7	686	77,18	PF08487;PF13768;	Variovorax boronicumulans	6_3	0,95
A0A7M3DY15	795	76,47	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,95
A0A4S5BH87	744	76,16	PF08487;PF13768;	Lampropedia aestuarii	6_3	0,95
A0A4V2RT13	733	75,78	PF08487;PF13768;	Shewanella fodinae	6_3	0,95
A0A7U4IRX7	792	75,38	PF08487;PF13768;	Rhizobium etli bv. phaseoli str. IE4803	6_3	0,95
A0A5N1K771	748	73,63	PF08487;PF13768;	[Ochrobactrum] quorumnocens	6_3	0,95
A0A7Y0FUX9	783	73,25	PF08487;PF13768;	Rhizobium sp. S-51	6_3	0,95
A0A6N9ZPY3	795	72,94	PF08487;PF13768;	Rhizobium laguerreae	6_3	0,95
A0A4Q9A633	795	71,32	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,95
A0A849RTU5	697	85,19	PF08487;PF13768;	Nitrospira sp	6_3	0,94
A0A212TA16	704	84,02	PF08487;PF13768;	Marinobacter sp. es.048	6_3	0,94
A0A135I598	699	83,67	PF08487;PF13768;	Enterovibrio coralii	6_3	0,94
A0A679I316	710	82,78	PF08487;PF13768;	Nitrospira sp. KM1	6_3	0,94
A0A2V8KP63	665	82,56	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,94
A0A1M5K1M5	703	82,47	PF08487;PF13768;	Marisediminitalea aggregata	6_3	0,94
A0A1X3FLW7	753	82,02	PF08487;PF13768;	Bradyrhizobium canariense	6_3	0,94
A0A524IDB4	725	81,71	PF08487;PF13768;	Nitrospirales bacterium	6_3	0,94
A0A2S9JPZ4	754	81,68	PF08487;PF13768;	Phyllobacterium myrsinacearum	6_3	0,94
A0A0M3ASX6	712	81,59	PF08487;PF13768;	Sphingobium chungbukense	6_3	0,94
A0A558DBT5	726	81,56	PF08487;PF13768;	Sedimenticola thiotaurini	6_3	0,94
A0A7S7UXU7	752	81,47	PF08487;PF13768;	Bradyrhizobium sp. CCBAU 53338	6_3	0,94
A0A2E3NJJ2	729	81,24	PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,94
A0A4Q7FZK7	755	81,15	PF08487;PF13768;	Bradyrhizobium sp. Leo121	6_3	0,94
A0A176YB50	753	81,11	PF08487;PF13768;	Bradyrhizobium centrolobii	6_3	0,94
A0A4Y9LEI5	753	81,09	PF08487;PF13768;	Bradyrhizobium frederickii	6_3	0,94
A0A4R5PII7	787	81,05	PF08487;PF13768;	Pseudohoeflea suaedae	6_3	0,94
A0A5C8VHY2	729	81,05	PF08487;PF13768;	Methylobacterium sp. WL7	6_3	0,94
A0A257KGA3	756	80,98	PF08487;PF13768;	Bradyrhizobiaceae bacterium PARB1	6_3	0,94
A0A848XEI0	672	80,89	PF08487;PF13768;	Rhodobacteraceae bacterium	6_3	0,94
A0A560KDF3	754	80,72	PF08487;PF13768;	Bradyrhizobium sacchari	6_3	0,94
A0A4Y9L4N5	753	80,67	PF08487;PF13768;	Bradyrhizobium niftali	6_3	0,94
A0A0Q5ZGC3	753	80,58	PF08487;PF13768;	Bradyrhizobium sp. Leaf396	6_3	0,94
A0A5S4WUW8	757	80,44	PF08487;PF13768;	Bradyrhizobium cytisi	6_3	0,94
A0A5S4YKA6	753	80,37	PF08487;PF13768;	Bradyrhizobium hipponense	6_3	0,94
A0A516J2D3	754	80,31	PF08487;PF13768;	Bradyrhizobium cosmicum	6_3	0,94
A4Z2V2	755	80,24	PF08487;PF13768;	Bradyrhizobium sp. (strain ORS 278)	6_3	0,94
A0A176Z682	753	80,22	PF08487;PF13768;	Bradyrhizobium neotropicale	6_3	0,94
A0A6G6Z2Q6	757	80,17	PF08487;PF13768;	Bradyrhizobium sp. 6(2017)	6_3	0,94
A0A554UFG0	754	80,02	PF08487;PF13768;	Mycobacterium sp. KBS0706	6_3	0,94
A0A3A9ACK6	669	79,76	PF08487;PF13768;	bacterium 0.1xD8-71	6_3	0,94
A0A0T6W049	716	79,73	PF08487;PF13768;	Marinobacter sp. P4B1	6_3	0,94
A0A5C5CSP4	750	79,57	PF08487;PF13768;	Brucella pecoris	6_3	0,94
A0A1C5WPW7	677	79,49	PF08487;PF13768;	uncultured Clostridium sp	6_3	0,94
A0KXX0	751	79,42	PF08487;PF13768;	Shewanella sp. (strain ANA-3)	6_3	0,94
A0A1Q7MT82	665	79,37	PF08487;PF13768;	Acidobacteria bacterium 13_1_40CM_3_56_11	6_3	0,94
A0A7Y6Q5I1	781	79,34	PF08487;PF13768;	Ensifer sp. HO-A22	6_3	0,94
A0A3D8H1Y0	704	79,04	PF08487;PF13768;	Marinobacter flavimaris	6_3	0,94
A0A2S6S3X4	716	78,97	PF08487;PF13768;	Alphaproteobacteria bacterium MarineAlpha5_Bin12	6_3	0,94
A0A7Z0VQM7	720	78,78	PF08487;PF13768;	Candidatus Thiodiazotropha endolucinida	6_3	0,94
A0A1I4L9B3	727	78,39	PF08487;PF13768;	Marinobacter zhejiangensis	6_3	0,94
A0A4R3R1F2	795	78,39	PF08487;PF13768;	Rhizobium laguerreae	6_3	0,94
A0A496XIP7	743	78,34	PF08487;PF13768;	Gammaproteobacteria bacterium	6_3	0,94
A0A4R1YMS0	777	78,17	PF08487;PF13768;	Rhizobium sp. BK068	6_3	0,94
A0A2N3BYY1	758	78,09	PF08487;PF13768;	Alphaproteobacteria bacterium HGW-Alphaproteobacteria-3	6_3	0,94
A0A6M8WB60	746	78,05	PF08487;PF13768;	Proteobacteria bacterium	6_3	0,94
A0A0S9NXU0	693	77,9	PF08487;PF13768;	Pseudorhodoferax sp. Leaf274	6_3	0,94
A0A5B8QZD2	755	77,04	PF08487;PF13768;	Shewanella decolorationis	6_3	0,94
A0A6G8DIS9	775	76,97	PF08487;PF13768;	Microbulbifer sp. SH-1	6_3	0,94
A0A5F1RZN5	752	76,82	PF08487;PF13768;	Rhizobium sp. SEMIA 4088	6_3	0,94
A0A0M3GKS4	794	76,71	PF08487;PF13768;	Rhizobium phaseoli Ch24-10	6_3	0,94
A0A7X4ZJA1	686	76,46	PF08487;PF13768;	Lachnospiraceae bacterium	6_3	0,94
A0A815Q460	820	76	PF08487;PF13768;	Rotaria magnacalcarata	6_3	0,94
A0A519ENT2	695	75,9	PF08487;PF13768;	Variovorax sp	6_3	0,94
W6RWA3	778	75,78	PF08487;PF13768;	Rhizobium favelukesii	6_3	0,94
A0A2A6LKC0	793	75,65	PF08487;PF13768;	Rhizobium sp. M10	6_3	0,94
A0A3A9UHI0	811	75,55	PF08487;PF13768;	Alteromonas sp. BL110	6_3	0,94
A0A7W8UJR9	794	75,23	PF08487;PF13768;	Rhizobium lentis	6_3	0,94
A0A4Q8YI04	795	74,21	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,94
A0A4Q8YI04	795	74,21	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,94
A0A7W5LG75	800	74,02	PF08487;PF13768;	Rhizobium sp. BK313	6_3	0,94
A0A7W5PKX3	792	73,93	PF08487;PF13768;	Rhizobium sp. BK049	6_3	0,94
A0A2E2XAC5	787	73,7	PF08487;PF13768;	Hoeflea sp	6_3	0,94
A0A843RGN7	762	73,59	PF08487;PF13768;	Kiloniellaceae bacterium	6_3	0,94
A0A7T8EBX3	770	73,41	PF08487;PF13768;	Shewanella algae	6_3	0,94
W0IFV4	795		PF08487;PF13768;	Rhizobium leguminosarum bv. trifolii WSM1689	6_3	0,94
A0A444NUY6	791		PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,94
A0A512IK59	716		PF08487;PF13768;	Methylobacterium haplocladii	6_3	0,94
A0A4R5B1I8	641	85,6	PF08487;PF13768;	Actinomadura darangshiensis	6_3	0,93
A0A6I2H1U4	667	85,38	PF08487;PF13768;	Aggregicoccus sp. 17bor-14	6_3	0,93
A0A1W9J8S5	697	85,37	PF08487;PF13768;	Nitrospira sp. ST-bin5	6_3	0,93
A0A1F3Z9K9	709	85,09	PF08487;PF13768;	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_62_17	6_3	0,93
A0A370DQZ4	713	83,72	PF08487;PF13768;	endosymbiont of Escarpia spicata	6_3	0,93
A0A3N1QU09	704	83,54	PF08487;PF13768;	Marinobacter sp. 3-2	6_3	0,93
A0A7Y4KF91	834	83,21	PF08487;PF13768;	Corallococcus exercitus	6_3	0,93
A0A2D9KHR5	703	83,15	PF08487;PF13768;	Alteromonadaceae bacterium	6_3	0,93
A0A523KAU1	734	83,12	PF08487;PF13768;	Gammaproteobacteria bacterium	6_3	0,93
A0A2T1KH84	712	83,05	PF08487;PF13768;	Marinobacter halophilus	6_3	0,93
A0A833MXY9	724	82,8	PF08487;PF13768;	Methylorubrum populi	6_3	0,93
U7NJ01	712	82,13	PF08487;PF13768;	Marinobacter sp. C1S70	6_3	0,93
A0A7Z9QF79	727	82,13	PF08487;PF13768;	Candidatus Marinimicrobia bacterium	6_3	0,93
A0A1Q7KZG3	701	81,86	PF08487;PF13768;	Acidobacteria bacterium 13_1_40CM_4_58_4	6_3	0,93
A0A3A8Q812	834	81,54	PF08487;PF13768;	Corallococcus interemptor	6_3	0,93
A0A837C8Q0	754	81,28	PF08487;PF13768;	Bradyrhizobium diazoefficiens SEMIA 5080	6_3	0,93
Q0AMP5	740	81,28	PF08487;PF13768;	Maricaulis maris (strain MCS10)	6_3	0,93
A0A2E4NFU3	743	81,12	PF08487;PF13768;	Rhodospirillaceae bacterium	6_3	0,93
A0A2A6PNL4	753	80,99	PF08487;PF13768;	Bradyrhizobium sp. Y36	6_3	0,93
A0A023XT20	754	80,94	PF08487;PF13768;	Bradyrhizobium japonicum SEMIA 5079	6_3	0,93
A0A1D9GPS9	713	80,66	PF08487;PF13768;	Marinobacter salinus	6_3	0,93
A0A2G6L1F0	750	80,6	PF08487;PF13768;	Gammaproteobacteria bacterium	6_3	0,93
A0A6N6MV52	730	80,52	PF08487;PF13768;	Methylobacterium sp. YIM 132548	6_3	0,93
A0A1H9Y738	721	80,45	PF08487;PF13768;	Thalassotalea agarivorans (Thalassomonas agarivorans)	6_3	0,93
A0A4Q5XYW3	750	80,36	PF08487;PF13768;	Alphaproteobacteria bacterium	6_3	0,93
A0A1G8DUA5	753	80,32	PF08487;PF13768;	Bradyrhizobium sp. Rc2d	6_3	0,93
A0A2A2VJ16	757	80,21	PF08487;PF13768;	Bradyrhizobium sp. UFLA03-84	6_3	0,93
A0A2A5EVG6	746	80,16	PF08487;PF13768;	Rhodobiaceae bacterium	6_3	0,93
A0A7X2FTN0	743	80,13	PF08487;PF13768;	Alphaproteobacteria bacterium HT1-32	6_3	0,93
A0A5H2YH67	753	80,12	PF08487;PF13768;	Bradyrhizobium sp. SG09	6_3	0,93
A0A072N1T9	709	80,02	PF08487;PF13768;	Marinobacter nitratireducens	6_3	0,93
A0A5D0VMA2	704	80,01	PF08487;PF13768;	Marinobacter sp. BW6	6_3	0,93
A0A1B3Z6U3	710	79,99	PF08487;PF13768;	Sphingomonas panacis	6_3	0,93
A0A7X8PHZ8	752	79,96	PF08487;PF13768;	Rhizobium sp. P28RR-XV	6_3	0,93
A0A2A6NCZ8	757	79,76	PF08487;PF13768;	Bradyrhizobium sp. C9	6_3	0,93
A0A849GFC3	686	79,68	PF08487;PF13768;	Woeseiaceae bacterium	6_3	0,93
A0A246SAV4	784	79,55	PF08487;PF13768;	Rhizobium sp. R634	6_3	0,93
A8RYI2	683	79,41	PF08487;PF13768;	Enterocloster bolteae (strain ATCC BAA-613 / DSM 15670 / CCUG 46953 / JCM 12243 / WAL 16351) (Clostridium bolteae)	6_3	0,93
A0A495DDN3	747	79,25	PF08487;PF13768;	Maricaulis maris	6_3	0,93
A0A3C1SRR0	721	79,14	PF08487;PF13768;	Candidatus Competibacteraceae bacterium	6_3	0,93
A0A261GN16	734	79,07	PF08487;PF13768;	Hahella sp. CCB-MM4	6_3	0,93
A0A0F0C310	677	79,04	PF08487;PF13768;	Clostridium sp. FS41	6_3	0,93
A0A4Q5XYS7	750	78,98	PF08487;PF13768;	Alphaproteobacteria bacterium	6_3	0,93
A0A3S0VXD1	718	78,92	PF08487;PF13768;	Candidatus Competibacteraceae bacterium	6_3	0,93
A0A7W0X079	710	78,81	PF08487;PF13768;	Betaproteobacteria bacterium	6_3	0,93
A0A669DQC5	828	78,74	PF08487;PF13768;	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	6_3	0,93
A0A1E1F2U0	707	78,71	PF08487;PF13768;	Sphingobium cloacae	6_3	0,93
A0A3P1UZV5	754	78,56	PF08487;PF13768;	Brucellaceae bacterium VT-16-1752	6_3	0,93
A0A1B1UQ39	757	78,48	PF08487;PF13768;	Bradyrhizobium icense	6_3	0,93
A0A1C3WXX6	750	78,09	PF08487;PF13768;	Rhizobium multihospitium	6_3	0,93
A0A3M2D657	760	77,85	PF08487;PF13768;	Nitrospirae bacterium	6_3	0,93
Q1MDP5	797	77,84	PF08487;PF13768;	Rhizobium leguminosarum bv. viciae (strain 3841)	6_3	0,93
A0A858X7N9	750	77,59	PF08487;PF13768;	Starkeya sp. ORNL1	6_3	0,93
A0A7W2B7P5	717	77,56	PF08487;PF13768;	Burkholderiales bacterium	6_3	0,93
A0A222F2T1	743	77,44	PF08487;PF13768;	Labrenzia sp. VG12	6_3	0,93
A0A1W6ZZR8	782	77,23	PF08487;PF13768;	Pseudorhodoplanes sinuspersici	6_3	0,93
A0A2N3E5Y8	756	77,19	PF08487;PF13768;	Alphaproteobacteria bacterium HGW-Alphaproteobacteria-11	6_3	0,93
A0A1H4AIX3	778	76,99	PF08487;PF13768;	Microbulbifer marinus	6_3	0,93
A0A653JMH0	698	76,81	PF08487;PF13768;	Burkholderiales bacterium 8X	6_3	0,93
A0A3E2VCM8	677	76,64	PF08487;PF13768;	Enterocloster citroniae	6_3	0,93
C7FPL0	836	76,47	PF08487;PF13768;	uncultured bacterium HF186_25m_27D22	6_3	0,93
A0A1W6GKE7	794	76,3	PF08487;PF13768;	Rhizobium phaseoli Brasil 5	6_3	0,93
A0A0P7E702	666	76,25	PF08487;PF13768;	Pseudoalteromonas lipolytica	6_3	0,93
