protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A064CP66	DUF2254 domain-containing protein	465	Y900_017120	1440774	Mycolicibacterium aromaticivorans JS19b1 = JCM 16368	Mycolicibacterium aromaticivorans JS19b1 = JCM 16368	True	IPR018723	family		465	20	397	CONTINUOUS	DUF2254_membrane
A0A066RLF5	DUF2254 domain-containing protein	443	EA58_13495	1654360	Photobacterium galatheae	Photobacterium galatheae	True	IPR018723	family		443	13	388	CONTINUOUS	DUF2254_membrane
A0A066ZB63	DUF2254 domain-containing protein	448	KCH_08810	1348663	Kitasatospora cheerisanensis KCTC 2395	Kitasatospora cheerisanensis KCTC 2395	True	IPR018723	family		448	25	401	CONTINUOUS	DUF2254_membrane
A0A069RD68	DUF2254 domain-containing protein	425	CLIT_23c04330	1121324	Peptoclostridium litorale DSM 5388	Peptoclostridium litorale DSM 5388	True	IPR018723	family		425	11	379	CONTINUOUS	DUF2254_membrane
A0A073J522	DUF2254 domain-containing protein	408	SUH3_09650	1402135	Pseudosulfitobacter pseudonitzschiae	Pseudosulfitobacter pseudonitzschiae	True	IPR018723	family		408	16	372	CONTINUOUS	DUF2254_membrane
A0A074JAW7	DUF2254 domain-containing protein	430	TP2_17300	1353537	Thioclava pacifica DSM 10166	Thioclava pacifica DSM 10166	True	IPR018723	family		430	17	372	CONTINUOUS	DUF2254_membrane
A0A074JG44	DUF2254 domain-containing protein	427	DT23_05785	1353528	Thioclava indica	Thioclava indica	True	IPR018723	family		427	17	371	CONTINUOUS	DUF2254_membrane
A0A074KT13	DUF2254 domain-containing protein	439	EL17_19260	1048983	Anditalea andensis	Anditalea andensis	True	IPR018723	family		439	14	387	CONTINUOUS	DUF2254_membrane
A0A074LLN2	DUF2254 domain-containing protein	542	EL26_17660	1157490	Tumebacillus flagellatus	Tumebacillus flagellatus	True	IPR018723	family		542	18	169	CONTINUOUS	DUF2254_membrane
A0A074MIB3	DUF2254 domain-containing protein	436	EH32_10900	39960	Erythrobacter litoralis	Erythrobacter litoralis	True	IPR018723	family		436	14	385	CONTINUOUS	DUF2254_membrane
A0A074TIG5	DUF2254 domain-containing protein	432	DL1_07605	1185766	Thioclava dalianensis	Thioclava dalianensis	True	IPR018723	family		432	25	380	CONTINUOUS	DUF2254_membrane
A0A075NWJ5	DUF2254 domain-containing protein	447	EP13_10105	589873	Alteromonas australica	Alteromonas australica	True	IPR018723	family		447	19	402	CONTINUOUS	DUF2254_membrane
A0A076L9V5	DUF2254 domain-containing protein	422	JH146_0249	1301915	Methanocaldococcus bathoardescens	Methanocaldococcus bathoardescens	True	IPR018723	family		422	42	173	CONTINUOUS	DUF2254_membrane
A0A077M452	DUF2254 domain-containing protein	458	BN12_380016	1194083	Nostocoides japonicum T1-X7	Nostocoides japonicum T1-X7	True	IPR018723	family		458	11	380	CONTINUOUS	DUF2254_membrane
A0A081BE40	Conserved protein	448	M2A_2807	1333998	Tepidicaulis marinus	Tepidicaulis marinus	True	IPR018723	family		448	14	387	CONTINUOUS	DUF2254_membrane
A0A084H2T9	DUF2254 domain-containing protein	457	GS18_0202875	246786	Metabacillus indicus	Metabacillus indicus	True	IPR018723	family		457	38	398	CONTINUOUS	DUF2254_membrane
A0A084IJH2	DUF2254 domain-containing protein	445	C41B8_12900	1304275	Salinisphaera hydrothermalis (strain C41B8)	Salinisphaera hydrothermalis (strain C41B8)	True	IPR018723	family		445	13	377	CONTINUOUS	DUF2254_membrane
A0A084K0D0	DUF2254 domain-containing protein	423	LY02_02773	906888	Nonlabens ulvanivorans	Nonlabens ulvanivorans	True	IPR018723	family		423	17	377	CONTINUOUS	DUF2254_membrane
A0A084UDU2	DUF2254 domain-containing protein	431	EL18_02172	472175	Nitratireductor basaltis	Nitratireductor basaltis	True	IPR018723	family		431	14	372	CONTINUOUS	DUF2254_membrane
A0A085U1B4	DUF2254 domain-containing protein	423	DW2_01345	1317124	Thioclava atlantica	Thioclava atlantica	True	IPR018723	family		423	17	372	CONTINUOUS	DUF2254_membrane
A0A085VN99	DUF2254 domain-containing protein	427	IV01_06955	317	Pseudomonas syringae	Pseudomonas syringae	True	IPR018723	family		427	14	377	CONTINUOUS	DUF2254_membrane
A0A085WAS2	DUF2254 domain-containing protein	296	DB31_1803	394096	Hyalangium minutum	Hyalangium minutum	True	IPR018723	family		296	2	235	CONTINUOUS	DUF2254_membrane
A0A086MUV1	DUF2254 domain-containing protein	452	FM21_17440	67332	Streptomyces mutabilis	Streptomyces mutabilis	True	IPR018723	family		452	27	405	CONTINUOUS	DUF2254_membrane
A0A086P7V2	DUF2254 domain-containing protein	439	BV98_002734	1219045	Sphingobium herbicidovorans (strain ATCC 700291 / DSM 11019 / CCUG 56400 / KCTC 2939 / LMG 18315 / NBRC 16415 / MH)	Sphingobium herbicidovorans (strain ATCC 700291 / DSM 11019 / CCUG 56400 / KCTC 2939 / LMG 18315 / NBRC 16415 / MH)	True	IPR018723	family		439	25	376	CONTINUOUS	DUF2254_membrane
A0A086Y4X8	DUF2254 domain-containing protein	422	CN97_16835	195105	Haematobacter massiliensis	Haematobacter massiliensis	True	IPR018723	family		422	13	364	CONTINUOUS	DUF2254_membrane
A0A087MKL7	DUF2254 domain-containing protein	419	N788_09510	1121014	Arenimonas donghaensis DSM 18148 = HO3-R19	Arenimonas donghaensis DSM 18148 = HO3-R19	True	IPR018723	family		419	13	368	CONTINUOUS	DUF2254_membrane
A0A089NS55	Protein of unassigned function	415	MOC_2482	693986	Methylobacterium oryzae CBMB20	Methylobacterium oryzae CBMB20	True	IPR018723	family		415	18	371	CONTINUOUS	DUF2254_membrane
A0A089WR28	DUF2254 domain-containing protein	428	LK03_18000	157783	Pseudomonas cremoricolorata	Pseudomonas cremoricolorata	True	IPR018723	family		428	14	380	CONTINUOUS	DUF2254_membrane
A0A089YTH4	DUF2254 domain-containing protein	428	LT40_09980	216142	Pseudomonas rhizosphaerae	Pseudomonas rhizosphaerae	True	IPR018723	family		428	14	380	CONTINUOUS	DUF2254_membrane
A0A090Q571	DUF2254 domain-containing protein	426	JCM19294_778	323273	Nonlabens tegetincola	Nonlabens tegetincola	True	IPR018723	family		426	17	377	CONTINUOUS	DUF2254_membrane
A0A094J042	DUF2254 domain-containing protein	414	IDSA_01545	435908	Pseudidiomarina salinarum	Pseudidiomarina salinarum	True	IPR018723	family		414	15	367	CONTINUOUS	DUF2254_membrane
A0A095Z9Q9	DUF2254 domain-containing protein	419	HMPREF2130_03165	1401065	Oligella urethralis DNF00040	Oligella urethralis DNF00040	True	IPR018723	family		419	14	371	CONTINUOUS	DUF2254_membrane
A0A097ECI5	DUF2254 domain-containing protein	410	MC45_01360	1549858	Sphingomonas taxi	Sphingomonas taxi	True	IPR018723	family		410	16	367	CONTINUOUS	DUF2254_membrane
A0A097ERZ0	DUF2254 domain-containing protein	281	LO80_09095	653937	Candidatus Francisella endociliophora	Candidatus Francisella endociliophora	True	IPR018723	family		281	3	231	CONTINUOUS	DUF2254_membrane
A0A098EMM1	DUF2254 domain-containing protein	428	BN1080_02496	1499687	Planococcus massiliensis	Planococcus massiliensis	True	IPR018723	family		428	10	370	CONTINUOUS	DUF2254_membrane
A0A098G4M3	DUF2254 domain-containing protein	454	LFA_2031	1212491	Legionella fallonii LLAP-10	Legionella fallonii LLAP-10	True	IPR018723	family		454	27	397	CONTINUOUS	DUF2254_membrane
A0A098Y3A1	DUF2254 domain-containing protein	476	IN07_20290	1522368	Modestobacter caceresii	Modestobacter caceresii	True	IPR018723	family		476	43	409	CONTINUOUS	DUF2254_membrane
A0A099EYP0	DUF2254 domain-containing protein	436	IT41_15335	376733	Paracoccus halophilus	Paracoccus halophilus	True	IPR018723	family		436	12	382	CONTINUOUS	DUF2254_membrane
A0A0A0BU46	DUF2254 domain-containing protein	441	N868_09165	947969	Cellulomonas carbonis T26	Cellulomonas carbonis T26	True	IPR018723	family		441	8	387	CONTINUOUS	DUF2254_membrane
A0A0A0K3C8	DUF2254 domain-containing protein	401	N801_11775	1385519	Knoellia aerolata DSM 18566	Knoellia aerolata DSM 18566	True	IPR018723	family		401	1	360	CONTINUOUS	DUF2254_membrane
A0A0A0MBU0	DUF2254 domain-containing protein	438	N791_10880	1385515	Lysobacter defluvii IMMIB APB-9 = DSM 18482	Lysobacter defluvii IMMIB APB-9 = DSM 18482	True	IPR018723	family		438	12	385	CONTINUOUS	DUF2254_membrane
A0A0A1W8B8	DUF2254 domain-containing protein	419	SP5_066_00080	1219049	Sphingomonas parapaucimobilis NBRC 15100	Sphingomonas parapaucimobilis NBRC 15100	True	IPR018723	family		419	13	366	CONTINUOUS	DUF2254_membrane
A0A0A1WBF1	Uncharacterized protein	184	SP5_076_00460	1219049	Sphingomonas parapaucimobilis NBRC 15100	Sphingomonas parapaucimobilis NBRC 15100	True	IPR018723	family		184	9	126	CONTINUOUS	DUF2254_membrane
A0A0A1YH27	DUF2254 domain-containing protein	445	TMS3_0117485	1395571	Pseudomonas taeanensis MS-3	Pseudomonas taeanensis MS-3	True	IPR018723	family		445	17	380	CONTINUOUS	DUF2254_membrane
A0A0A2GQH8	DUF2254 domain-containing protein	431	NV36_00900	1300343	Dokdonia donghaensis DSW-1	Dokdonia donghaensis DSW-1	True	IPR018723	family		431	18	381	CONTINUOUS	DUF2254_membrane
A0A0A2LK06	DUF2254 domain-containing protein	409	Q763_11200	1406840	Flavobacterium beibuense F44-8	Flavobacterium beibuense F44-8	True	IPR018723	family		409	16	377	CONTINUOUS	DUF2254_membrane
A0A0A2T7I5	DUF2254 domain-containing protein	436	N782_16595	1385514	Pontibacillus yanchengensis Y32	Pontibacillus yanchengensis Y32	True	IPR018723	family		436	11	381	CONTINUOUS	DUF2254_membrane
A0A0A2UUD0	DUF2254 domain-containing protein	436	N780_06960	1385513	Pontibacillus chungwhensis BH030062	Pontibacillus chungwhensis BH030062	True	IPR018723	family		436	11	381	CONTINUOUS	DUF2254_membrane
A0A0A2UUD6	DUF2254 domain-containing protein	477	N780_06990	1385513	Pontibacillus chungwhensis BH030062	Pontibacillus chungwhensis BH030062	True	IPR018723	family		477	26	393	CONTINUOUS	DUF2254_membrane
A0A0A2UVK8	DUF2254 domain-containing protein	460	N780_03850	1385513	Pontibacillus chungwhensis BH030062	Pontibacillus chungwhensis BH030062	True	IPR018723	family		460	24	385	CONTINUOUS	DUF2254_membrane
A0A0A2VHZ9	DUF2254 domain-containing protein	453	N780_13155	1385513	Pontibacillus chungwhensis BH030062	Pontibacillus chungwhensis BH030062	True	IPR018723	family		453	22	384	CONTINUOUS	DUF2254_membrane
A0A0A3ARQ8	DUF2254 domain-containing protein	418	OA57_06360	505317	Chelonobacter oris	Chelonobacter oris	True	IPR018723	family		418	19	368	CONTINUOUS	DUF2254_membrane
A0A0A5GBJ1	DUF2254 domain-containing protein	471	N781_06955	1385510	Pontibacillus halophilus JSM 076056 = DSM 19796	Pontibacillus halophilus JSM 076056 = DSM 19796	True	IPR018723	family		471	18	386	CONTINUOUS	DUF2254_membrane
A0A0A5GCY1	DUF2254 domain-containing protein	468	N783_03285	1385511	Pontibacillus marinus BH030004 = DSM 16465	Pontibacillus marinus BH030004 = DSM 16465	True	IPR018723	family		468	28	391	CONTINUOUS	DUF2254_membrane
A0A0A5GFI3	DUF2254 domain-containing protein	457	N783_03225	1385511	Pontibacillus marinus BH030004 = DSM 16465	Pontibacillus marinus BH030004 = DSM 16465	True	IPR018723	family		457	15	385	CONTINUOUS	DUF2254_membrane
A0A0A5GHG1	DUF2254 domain-containing protein	459	N781_06915	1385510	Pontibacillus halophilus JSM 076056 = DSM 19796	Pontibacillus halophilus JSM 076056 = DSM 19796	True	IPR018723	family		459	28	391	CONTINUOUS	DUF2254_membrane
A0A0A5HSM1	Uncharacterized protein	84	N784_04235	1385512	Pontibacillus litoralis JSM 072002	Pontibacillus litoralis JSM 072002	True	IPR018723	family		84	2	84	CONTINUOUS	DUF2254_membrane
A0A0A5I8Z0	DUF2254 domain-containing protein	470	N781_16205	1385510	Pontibacillus halophilus JSM 076056 = DSM 19796	Pontibacillus halophilus JSM 076056 = DSM 19796	True	IPR018723	family		470	29	391	CONTINUOUS	DUF2254_membrane
A0A0A8K779	DUF2254 domain-containing protein	432	GL4_2403	1384459	Methyloceanibacter caenitepidi	Methyloceanibacter caenitepidi	True	IPR018723	family		432	15	375	CONTINUOUS	DUF2254_membrane
A0A0A8X2E3	DUF2254 domain-containing protein	434	SAMD00020551_2260	1321606	Mesobacillus selenatarsenatis (strain DSM 18680 / JCM 14380 / FERM P-15431 / SF-1)	Mesobacillus selenatarsenatis (strain DSM 18680 / JCM 14380 / FERM P-15431 / SF-1)	True	IPR018723	family		434	10	380	CONTINUOUS	DUF2254_membrane
A0A0B0IF46	DUF2254 domain-containing protein	153	LQ50_12570	333138	Halalkalibacter okhensis	Halalkalibacter okhensis	True	IPR018723	family		153	11	147	CONTINUOUS	DUF2254_membrane
A0A0B0IIN8	Uncharacterized protein	276	LQ50_12565	333138	Halalkalibacter okhensis	Halalkalibacter okhensis	True	IPR018723	family		276	2	218	CONTINUOUS	DUF2254_membrane
A0A0B1ZST1	DUF2254 domain-containing protein	439	LK12_07180	1348853	Novosphingobium malaysiense	Novosphingobium malaysiense	True	IPR018723	family		439	13	388	CONTINUOUS	DUF2254_membrane
A0A0B2AHA9	DUF2254 domain-containing protein	505	LK10_16905	1338436	Sinomonas humi	Sinomonas humi	True	IPR018723	family		505	48	393	CONTINUOUS	DUF2254_membrane
A0A0B2BWP2	DUF2254 domain-containing protein	438	PK98_10170	1572751	Croceibacterium mercuriale	Croceibacterium mercuriale	True	IPR018723	family		438	13	388	CONTINUOUS	DUF2254_membrane
A0A0B3BNZ3	DUF2254 domain-containing protein	439	PT85_01035	706570	Pseudomonas flexibilis	Pseudomonas flexibilis	True	IPR018723	family		439	13	382	CONTINUOUS	DUF2254_membrane
A0A0B3RTV5	DUF2254 domain-containing protein	412	OA50_03967	561184	Mameliella alba	Mameliella alba	True	IPR018723	family		412	17	364	CONTINUOUS	DUF2254_membrane
A0A0B3Y608	DUF2254 domain-containing protein	432	RJ41_10220	203795	Alteromonas marina	Alteromonas marina	True	IPR018723	family		432	19	380	CONTINUOUS	DUF2254_membrane
A0A0B4XJK4	DUF2254 domain-containing protein	430	S7S_04045	391936	Isoalcanivorax pacificus W11-5	Isoalcanivorax pacificus W11-5	True	IPR018723	family		430	13	374	CONTINUOUS	DUF2254_membrane
A0A0B5AWS1	DUF2254 domain-containing protein	430	JMA_31320	1508404	Jeotgalibacillus malaysiensis	Jeotgalibacillus malaysiensis	True	IPR018723	family		430	10	378	CONTINUOUS	DUF2254_membrane
A0A0B5DE33	DUF2254 domain-containing protein	439	B842_10725	1223515	Corynebacterium humireducens NBRC 106098 = DSM 45392	Corynebacterium humireducens NBRC 106098 = DSM 45392	True	IPR018723	family		439	32	406	CONTINUOUS	DUF2254_membrane
A0A0B6AZ21	DUF2254 domain-containing protein	456	BG04_288	1348623	Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19)	Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19)	True	IPR018723	family		456	24	391	CONTINUOUS	DUF2254_membrane
A0A0B6TVP3	DUF2254 domain-containing protein	439	B840_10480	1224162	Corynebacterium marinum DSM 44953	Corynebacterium marinum DSM 44953	True	IPR018723	family		439	36	403	CONTINUOUS	DUF2254_membrane
A0A0B7H1V4	DUF2254 domain-containing protein	442	TPHV1_500036	162	Treponema phagedenis	Treponema phagedenis	True	IPR018723	family		442	14	380	CONTINUOUS	DUF2254_membrane
A0A0C1FSA0	DUF2254 domain-containing protein	404	OA86_02120	266749	Kaistella jeonii	Kaistella jeonii	True	IPR018723	family		404	14	377	CONTINUOUS	DUF2254_membrane
A0A0C2HP00	DUF2254 domain-containing protein	430	F7P68_0005250	45670	Salinicoccus roseus	Salinicoccus roseus	True	IPR018723	family		430	8	377	CONTINUOUS	DUF2254_membrane
A0A0C2HPI1	DUF2254 domain-containing protein	448	GFER_07020	1121915	Geoalkalibacter ferrihydriticus DSM 17813	Geoalkalibacter ferrihydriticus DSM 17813	True	IPR018723	family		448	13	390	CONTINUOUS	DUF2254_membrane
A0A0C2RNH7	DUF2254 domain-containing protein	433	KP77_30400	135826	Jeotgalibacillus alimentarius	Jeotgalibacillus alimentarius	True	IPR018723	family		433	10	378	CONTINUOUS	DUF2254_membrane
A0A0C2W0C9	DUF2254 domain-containing protein	426	KP78_11110	889306	Jeotgalibacillus soli	Jeotgalibacillus soli	True	IPR018723	family		426	11	380	CONTINUOUS	DUF2254_membrane
A0A0C2W550	DUF2254 domain-containing protein	473	KR50_10240	220754	Jeotgalibacillus campisalis	Jeotgalibacillus campisalis	True	IPR018723	family		473	26	390	CONTINUOUS	DUF2254_membrane
A0A0C3HNP0	DUF2254 domain-containing protein	422	SU60_17485	50718	Vibrio mytili	Vibrio mytili	True	IPR018723	family		422	15	369	CONTINUOUS	DUF2254_membrane
A0A0C6F8C6	DUF2254 domain-containing protein	452	Maq22A_c06305	270351	Methylobacterium aquaticum	Methylobacterium aquaticum	True	IPR018723	family		452	21	330	CONTINUOUS	DUF2254_membrane
A0A0C6FFZ7	Formate C-acetyltransferase glycine radical	439	Maq22A_c13690	270351	Methylobacterium aquaticum	Methylobacterium aquaticum	True	IPR018723	family		439	14	376	CONTINUOUS	DUF2254_membrane
A0A0C6FM82	DUF2254 domain-containing protein	471	Maq22A_c15635	270351	Methylobacterium aquaticum	Methylobacterium aquaticum	True	IPR018723	family		471	21	339	CONTINUOUS	DUF2254_membrane
A0A0C6FMH3	Formate C-acetyltransferase glycine radical	432	Maq22A_1p36950	270351	Methylobacterium aquaticum	Methylobacterium aquaticum	True	IPR018723	family		432	14	376	CONTINUOUS	DUF2254_membrane
A0A0C6FUH6	Formate C-acetyltransferase glycine radical	432	Maq22A_c18215	270351	Methylobacterium aquaticum	Methylobacterium aquaticum	True	IPR018723	family		432	14	376	CONTINUOUS	DUF2254_membrane
A0A0C6FWM6	Formate C-acetyltransferase glycine radical	439	Maq22A_2p41100	270351	Methylobacterium aquaticum	Methylobacterium aquaticum	True	IPR018723	family		439	14	376	CONTINUOUS	DUF2254_membrane
A0A0C9NDG1	DNA, contig: SP636	415	SP6_36_00410	1219050	Sphingomonas paucimobilis NBRC 13935	Sphingomonas paucimobilis NBRC 13935	True	IPR018723	family		415	13	366	CONTINUOUS	DUF2254_membrane
A0A0D0JDZ7	DUF2254 domain-containing protein	425	RU07_05855	358	Agrobacterium tumefaciens	Agrobacterium tumefaciens	True	IPR018723	family		425	14	374	CONTINUOUS	DUF2254_membrane
A0A0D0PBD9	DUF2254 domain-containing protein	451	Wenmar_02451	1123501	Wenxinia marina DSM 24838	Wenxinia marina DSM 24838	True	IPR018723	family		451	14	362	CONTINUOUS	DUF2254_membrane
A0A0D0Q241	DUF2254 domain-containing protein	437	TR51_03470	2064	Kitasatospora griseola	Kitasatospora griseola	True	IPR018723	family		437	25	390	CONTINUOUS	DUF2254_membrane
A0A0D1EEU6	DUF2254 domain-containing protein	405	jaqu_28400	935700	Jannaschia aquimarina	Jannaschia aquimarina	True	IPR018723	family		405	27	381	CONTINUOUS	DUF2254_membrane
A0A0D5LX84	DUF2254 domain-containing protein	417	TM49_08120	1486262	Martelella endophytica	Martelella endophytica	True	IPR018723	family		417	13	368	CONTINUOUS	DUF2254_membrane
A0A0D6JD67	DUF2254 domain-containing protein	420	YBN1229_v1_1279	1608628	Candidatus Filomicrobium marinum	Candidatus Filomicrobium marinum	True	IPR018723	family		420	14	373	CONTINUOUS	DUF2254_membrane
A0A0D6PIA7	DUF2254 domain-containing protein	429	Aam_092_013	1120923	Acidocella aminolytica 101 = DSM 11237	Acidocella aminolytica 101 = DSM 11237	True	IPR018723	family		429	13	373	CONTINUOUS	DUF2254_membrane
A0A0D6ZGY5	DUF2254 domain-containing protein	433	UB32_00495	285983	Mesobacillus subterraneus	Mesobacillus subterraneus	True	IPR018723	family		433	9	379	CONTINUOUS	DUF2254_membrane
A0A0D8ZLU5	DUF2254 domain-containing protein	441	UH38_22505	1618023	Aliterella atlantica CENA595	Aliterella atlantica CENA595	True	IPR018723	family		441	15	391	CONTINUOUS	DUF2254_membrane
A0A0E3QVG2	DUF2254 domain-containing protein	911	MSBRM_1620	1434108	Methanosarcina barkeri MS	Methanosarcina barkeri MS	True	IPR018723	family		911	36	164	CONTINUOUS	DUF2254_membrane
A0A0E3S0L6	DUF2254 domain-containing protein	834	MSLAZ_0275	1434111	Methanosarcina lacustris Z-7289	Methanosarcina lacustris Z-7289	True	IPR018723	family		834	18	193	CONTINUOUS	DUF2254_membrane
A0A0E3UYF0	Uncharacterized protein	268	PKOR_20780	400092	Pontibacter korlensis	Pontibacter korlensis	True	IPR018723	family		268	3	207	CONTINUOUS	DUF2254_membrane
A0A0E3UYS4	DUF2254 domain-containing protein	446	PKOR_18355	400092	Pontibacter korlensis	Pontibacter korlensis	True	IPR018723	family		446	18	382	CONTINUOUS	DUF2254_membrane
A0A0E3WWB0	Uncharacterized protein	519	MSBR3_0962	1434107	Methanosarcina barkeri 3	Methanosarcina barkeri 3	True	IPR018723	family		519	29	175	CONTINUOUS	DUF2254_membrane
A0A0E3ZHE2	DUF2254 domain-containing protein	450	PKOR_14220	400092	Pontibacter korlensis	Pontibacter korlensis	True	IPR018723	family		450	28	389	CONTINUOUS	DUF2254_membrane
A0A0E3ZTP9	DUF2254 domain-containing protein	443	SD10_03175	1379870	Spirosoma radiotolerans	Spirosoma radiotolerans	True	IPR018723	family		443	14	392	CONTINUOUS	DUF2254_membrane
A0A0F4JXF2	DUF2254 domain-containing protein	445	VR44_02345	68223	Streptomyces katrae	Streptomyces katrae	True	IPR018723	family		445	21	398	CONTINUOUS	DUF2254_membrane
A0A0F4PLL3	DUF2254 domain-containing protein	452	TW72_07560	151081	Pseudoalteromonas ruthenica	Pseudoalteromonas ruthenica	True	IPR018723	family		452	16	384	CONTINUOUS	DUF2254_membrane
A0A0F4QJ05	DUF2254 domain-containing protein	447	TW77_16205	43658	Pseudoalteromonas rubra	Pseudoalteromonas rubra	True	IPR018723	family		447	16	384	CONTINUOUS	DUF2254_membrane
A0A0F5FJM9	DUF2254 domain-containing protein	409	VE26_03080	429727	Devosia chinhatensis	Devosia chinhatensis	True	IPR018723	family		409	14	362	CONTINUOUS	DUF2254_membrane
A0A0F5LDV1	DUF2254 domain-containing protein	421	VW35_08355	361041	Devosia soli	Devosia soli	True	IPR018723	family		421	14	368	CONTINUOUS	DUF2254_membrane
A0A0F5LPV5	DUF2254 domain-containing protein	421	VW29_10415	1121477	Devosia limi DSM 17137	Devosia limi DSM 17137	True	IPR018723	family		421	14	368	CONTINUOUS	DUF2254_membrane
A0A0F5MW65	Uncharacterized protein	447	BST15_18160	342002	Mycolicibacter arupensis	Mycolicibacter arupensis	True	IPR018723	family		447	21	384	CONTINUOUS	DUF2254_membrane
A0A0F5VB06	DUF2254 domain-containing protein	438	KY46_13000	265726	Photobacterium halotolerans	Photobacterium halotolerans	True	IPR018723	family		438	13	385	CONTINUOUS	DUF2254_membrane
A0A0F6RBA5	DUF2254 domain-containing protein	435	TQ33_0397	914150	Kangiella geojedonensis	Kangiella geojedonensis	True	IPR018723	family		435	16	384	CONTINUOUS	DUF2254_membrane
A0A0F6W8A8	DUF2254 domain-containing protein	543	DB32_007110	927083	Sandaracinus amylolyticus	Sandaracinus amylolyticus	True	IPR018723	family		543	26	203	CONTINUOUS	DUF2254_membrane
A0A0F6WRY6	DUF2254 domain-containing protein	442	YH66_13330	92706	[Brevibacterium] flavum	[Brevibacterium] flavum	True	IPR018723	family		442	37	406	CONTINUOUS	DUF2254_membrane
A0A0F6YGP0	DUF2254 domain-containing protein	500	DB32_000231	927083	Sandaracinus amylolyticus	Sandaracinus amylolyticus	True	IPR018723	family		500	5	173	CONTINUOUS	DUF2254_membrane
A0A0F6YMT8	DUF2254 domain-containing protein	455	DB32_008225	927083	Sandaracinus amylolyticus	Sandaracinus amylolyticus	True	IPR018723	family		455	17	379	CONTINUOUS	DUF2254_membrane
A0A0F7JWN6	DUF2254 domain-containing protein	445	AAY24_04745	1543721	Sedimenticola thiotaurini	Sedimenticola thiotaurini	True	IPR018723	family		445	18	390	CONTINUOUS	DUF2254_membrane
A0A0F7KFM0	DUF2254 domain-containing protein	444	AAW31_06950	44574	Nitrosomonas communis	Nitrosomonas communis	True	IPR018723	family		444	12	386	CONTINUOUS	DUF2254_membrane
