protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A022PV59	Carbonic anhydrase	265	MIMGU_mgv1a011955mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		265	50	265	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022PVH3	Alpha-carbonic anhydrase domain-containing protein	51	MIMGU_mgv1a0248942mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		51	6	51	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022PWL6	Alpha-carbonic anhydrase domain-containing protein	240	MIMGU_mgv1a019017mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		240	2	237	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022R5K3	Alpha-carbonic anhydrase domain-containing protein	146	MIMGU_mgv1a0113001mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		146	1	143	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022R678	Alpha-carbonic anhydrase domain-containing protein	59	MIMGU_mgv1a0200671mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		59	3	59	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022R9D3	Alpha-carbonic anhydrase domain-containing protein	140	MIMGU_mgv1a0113002mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		140	29	140	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022RDX7	Carbonic anhydrase	272	MIMGU_mgv1a011717mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		272	27	269	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022RF51	Carbonic anhydrase	284	MIMGU_mgv1a011347mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		284	31	277	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022RP91	Carbonic anhydrase	277	MIMGU_mgv1a011586mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		277	34	273	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022XPB6	carbonic anhydrase	311	H105_05545	1215331	Trichophyton soudanense CBS 452.61	Trichophyton soudanense CBS 452.61	True	IPR036398	homologous_superfamily		311	37	298	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022Y3C5	carbonic anhydrase	283	H105_01436	1215331	Trichophyton soudanense CBS 452.61	Trichophyton soudanense CBS 452.61	True	IPR036398	homologous_superfamily		283	37	276	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023B019	Redoxin domain-containing protein	2151	GNI_149560	110365	Gregarina niphandrodes	Gregarina niphandrodes (Septate eugregarine)	False	IPR036398	homologous_superfamily		2151	1037	1267	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023BBY7	carbonic anhydrase	354	GNI_021740	110365	Gregarina niphandrodes	Gregarina niphandrodes (Septate eugregarine)	True	IPR036398	homologous_superfamily		354	45	286	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023CZ55	carbonic anhydrase	217	FD15_GL000878	1423806	Liquorilactobacillus sucicola DSM 21376 = JCM 15457	Liquorilactobacillus sucicola DSM 21376 = JCM 15457	True	IPR036398	homologous_superfamily		217	3	212	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023ELD9	Alpha-carbonic anhydrase domain-containing protein	254		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR036398	homologous_superfamily		254	1	242	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023EM65	Carbonic anhydrase	276		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	False	IPR036398	homologous_superfamily		276	1	274	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023EN84	Alpha-carbonic anhydrase domain-containing protein	314		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR036398	homologous_superfamily		314	25	302	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023EN85	Carbonic anhydrase	315		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR036398	homologous_superfamily		315	25	292	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023ENB2	Carbonic anhydrase	276		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR036398	homologous_superfamily		276	1	274	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023ENJ6	Alpha-carbonic anhydrase domain-containing protein	285		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR036398	homologous_superfamily		285	19	284	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023ENK1	Carbonic anhydrase	283		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	False	IPR036398	homologous_superfamily		283	5	261	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023EPC9	Alpha-carbonic anhydrase domain-containing protein	314		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR036398	homologous_superfamily		314	25	302	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023EPQ0	Alpha-carbonic anhydrase domain-containing protein	284		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR036398	homologous_superfamily		284	18	283	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023EQ37	carbonic anhydrase	340		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	False	IPR036398	homologous_superfamily		340	9	277	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023EQM0	carbonic anhydrase	360		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR036398	homologous_superfamily		360	29	297	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023EQU6	Alpha-carbonic anhydrase domain-containing protein	324		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR036398	homologous_superfamily		324	58	323	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023F0Q2	Carbonic anhydrase	303		30076	Triatoma infestans	Triatoma infestans (Assassin bug)	True	IPR036398	homologous_superfamily		303	20	284	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023F836	Carbonic anhydrase	269		30076	Triatoma infestans	Triatoma infestans (Assassin bug)	True	IPR036398	homologous_superfamily		269	1	267	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023FAY2	Carbonic anhydrase	321		30076	Triatoma infestans	Triatoma infestans (Assassin bug)	False	IPR036398	homologous_superfamily		321	15	312	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023FHS5	Carbonic anhydrase	194		34607	Amblyomma cajennense	Amblyomma cajennense (Cayenne tick)	True	IPR036398	homologous_superfamily		194	1	194	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023FIA0	Carbonic anhydrase	277		34607	Amblyomma cajennense	Amblyomma cajennense (Cayenne tick)	True	IPR036398	homologous_superfamily		277	9	277	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023FLX9	Carbonic anhydrase	267		34607	Amblyomma cajennense	Amblyomma cajennense (Cayenne tick)	True	IPR036398	homologous_superfamily		267	9	258	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023FM10	Carbonic anhydrase	319		34607	Amblyomma cajennense	Amblyomma cajennense (Cayenne tick)	True	IPR036398	homologous_superfamily		319	17	295	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023FYN3	Carbonic anhydrase	300		251391	Amblyomma parvum	Amblyomma parvum (South American tick)	True	IPR036398	homologous_superfamily		300	38	300	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023GAW7	Carbonic anhydrase	300		251400	Amblyomma triste	Amblyomma triste (Neotropical tick)	True	IPR036398	homologous_superfamily		300	37	300	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023GBM2	Carbonic anhydrase	304		251400	Amblyomma triste	Amblyomma triste (Neotropical tick)	True	IPR036398	homologous_superfamily		304	36	304	CONTINUOUS	Alpha_carbonic_anhydrase
A0A023GPD8	Carbonic anhydrase	317		251400	Amblyomma triste	Amblyomma triste (Neotropical tick)	True	IPR036398	homologous_superfamily		317	17	294	CONTINUOUS	Alpha_carbonic_anhydrase
A0A024G8R5	carbonic anhydrase	264	BN9_039370	65357	Albugo candida	Albugo candida	True	IPR036398	homologous_superfamily		264	22	262	CONTINUOUS	Alpha_carbonic_anhydrase
A0A024GBC4	carbonic anhydrase	220	BN9_047280	65357	Albugo candida	Albugo candida	True	IPR036398	homologous_superfamily		220	2	216	CONTINUOUS	Alpha_carbonic_anhydrase
A0A024P8D4	carbonic anhydrase	274	cah	195088	Halobacillus karajensis	Halobacillus karajensis	True	IPR036398	homologous_superfamily		274	45	273	CONTINUOUS	Alpha_carbonic_anhydrase
A0A024TTI4	Carbonic anhydrase	235	DYB32_008865	157072	Aphanomyces invadans	Aphanomyces invadans	True	IPR036398	homologous_superfamily		235	17	234	CONTINUOUS	Alpha_carbonic_anhydrase
A0A026VYY7	carbonic anhydrase	322	X777_14183	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR036398	homologous_superfamily		322	18	291	CONTINUOUS	Alpha_carbonic_anhydrase
A0A026W6G5	Carbonic anhydrase	265	X777_09453	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR036398	homologous_superfamily		265	3	263	CONTINUOUS	Alpha_carbonic_anhydrase
A0A026WAC8	Alpha-carbonic anhydrase domain-containing protein	307	X777_07225	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR036398	homologous_superfamily		307	15	281	CONTINUOUS	Alpha_carbonic_anhydrase
A0A026WEW3	Alpha-carbonic anhydrase domain-containing protein	296	X777_05477	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR036398	homologous_superfamily		296	31	289	CONTINUOUS	Alpha_carbonic_anhydrase
A0A026WQ71	Alpha-carbonic anhydrase domain-containing protein	459	X777_00948	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR036398	homologous_superfamily		459	270	432	CONTINUOUS	Alpha_carbonic_anhydrase
A0A026WZU2	Alpha-carbonic anhydrase domain-containing protein	138	X777_14240	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR036398	homologous_superfamily		138	6	138	CONTINUOUS	Alpha_carbonic_anhydrase
A0A026X039	Alpha-carbonic anhydrase domain-containing protein	241	X777_07796	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR036398	homologous_superfamily		241	1	226	CONTINUOUS	Alpha_carbonic_anhydrase
A0A026X185	Alpha-carbonic anhydrase domain-containing protein	311	X777_09392	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR036398	homologous_superfamily		311	29	289	CONTINUOUS	Alpha_carbonic_anhydrase
A0A034W782	Alpha-carbonic anhydrase domain-containing protein	250	LOC105224914	27457	Bactrocera dorsalis	Bactrocera dorsalis (Oriental fruit fly)	True	IPR036398	homologous_superfamily		250	2	245	CONTINUOUS	Alpha_carbonic_anhydrase
A0A034WF40	Alpha-carbonic anhydrase domain-containing protein	356	LOC105224913	27457	Bactrocera dorsalis	Bactrocera dorsalis (Oriental fruit fly)	True	IPR036398	homologous_superfamily		356	79	334	CONTINUOUS	Alpha_carbonic_anhydrase
A0A059J8H2	carbonic anhydrase	290	H109_03956	1215338	Trichophyton interdigitale (strain MR816)	Trichophyton interdigitale (strain MR816)	True	IPR036398	homologous_superfamily		290	37	277	CONTINUOUS	Alpha_carbonic_anhydrase
A0A059JH86	carbonic anhydrase	283	H109_00983	1215338	Trichophyton interdigitale (strain MR816)	Trichophyton interdigitale (strain MR816)	True	IPR036398	homologous_superfamily		283	37	276	CONTINUOUS	Alpha_carbonic_anhydrase
A0A059KL89	Carbonic anhydrase	249	X805_21600	1286631	Sphaerotilus natans subsp. natans DSM 6575	Sphaerotilus natans subsp. natans DSM 6575	True	IPR036398	homologous_superfamily		249	25	249	CONTINUOUS	Alpha_carbonic_anhydrase
A0A059KPW7	carbonic anhydrase	370	X805_10050	1286631	Sphaerotilus natans subsp. natans DSM 6575	Sphaerotilus natans subsp. natans DSM 6575	True	IPR036398	homologous_superfamily		370	146	368	CONTINUOUS	Alpha_carbonic_anhydrase
A0A060LX93	Carbonic anhydrase	246	BleG1_1812	1246626	Shouchella lehensis G1	Shouchella lehensis G1	True	IPR036398	homologous_superfamily		246	20	245	CONTINUOUS	Alpha_carbonic_anhydrase
A0A060RUT7	Alpha-carbonic anhydrase domain-containing protein	600	PRCDC_1138400	5854	Plasmodium reichenowi	Plasmodium reichenowi	True	IPR036398	homologous_superfamily		600	173	534	CONTINUOUS	Alpha_carbonic_anhydrase
A0A060VXI4	Carbonic anhydrase	318	LOC110512077	8022	Oncorhynchus mykiss	Oncorhynchus mykiss (Rainbow trout)	True	IPR036398	homologous_superfamily		318	43	304	CONTINUOUS	Alpha_carbonic_anhydrase
A0A060W356	Carbonic anhydrase	304	ca4b	8022	Oncorhynchus mykiss	Oncorhynchus mykiss (Rainbow trout)	True	IPR036398	homologous_superfamily		304	15	290	CONTINUOUS	Alpha_carbonic_anhydrase
A0A060WPK5	Carbonic anhydrase-related protein	281	LOC110508819	8022	Oncorhynchus mykiss	Oncorhynchus mykiss (Rainbow trout)	True	IPR036398	homologous_superfamily		281	15	281	CONTINUOUS	Alpha_carbonic_anhydrase
A0A060WU30	Carbonic anhydrase-related protein	281	car8	8022	Oncorhynchus mykiss	Oncorhynchus mykiss (Rainbow trout)	True	IPR036398	homologous_superfamily		281	15	281	CONTINUOUS	Alpha_carbonic_anhydrase
A0A060X6S9	Carbonic anhydrase	307	ca4a	8022	Oncorhynchus mykiss	Oncorhynchus mykiss (Rainbow trout)	True	IPR036398	homologous_superfamily		307	20	281	CONTINUOUS	Alpha_carbonic_anhydrase
A0A060XMX3	Carbonic anhydrase	314	LOC110530651	8022	Oncorhynchus mykiss	Oncorhynchus mykiss (Rainbow trout)	True	IPR036398	homologous_superfamily		314	21	299	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061DD10	Alpha-carbonic anhydrase domain-containing protein	879	BBBOND_0309220	5866	Babesia bigemina	Babesia bigemina	True	IPR036398	homologous_superfamily		879	104	315	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061DD10	Alpha-carbonic anhydrase domain-containing protein	879	BBBOND_0309220	5866	Babesia bigemina	Babesia bigemina	True	IPR036398	homologous_superfamily		879	632	824	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061ESD2	Carbonic anhydrase	282	TCM_022295	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR036398	homologous_superfamily		282	34	277	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061ET02	Carbonic anhydrase	242	TCM_022295	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR036398	homologous_superfamily		242	34	241	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061EWG3	Alpha-carbonic anhydrase domain-containing protein	278	TCM_024536	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR036398	homologous_superfamily		278	34	271	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061EXL7	carbonic anhydrase	279	TCM_024529	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR036398	homologous_superfamily		279	39	275	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061F181	Carbonic anhydrase	269	TCM_022604	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR036398	homologous_superfamily		269	26	268	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061F3P5	Alpha-carbonic anhydrase domain-containing protein	273	TCM_024525	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR036398	homologous_superfamily		273	35	271	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061GX26	Carbonic anhydrase	275	TCM_042096	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR036398	homologous_superfamily		275	32	273	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061GYR3	Carbonic anhydrase	275	TCM_042093	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR036398	homologous_superfamily		275	32	272	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061IE08	Carbonic anhydrase	262	Ca13	10029	Cricetulus griseus	Cricetulus griseus (Chinese hamster)	True	IPR036398	homologous_superfamily		262	1	262	CONTINUOUS	Alpha_carbonic_anhydrase
A0A061IHW5	Carbonic anhydrase	260	Ca2	10029	Cricetulus griseus	Cricetulus griseus (Chinese hamster)	True	IPR036398	homologous_superfamily		260	1	260	CONTINUOUS	Alpha_carbonic_anhydrase
A0A066RSA3	Carbonic anhydrase	244	EA58_01585	1654360	Photobacterium galatheae	Photobacterium galatheae	True	IPR036398	homologous_superfamily		244	19	243	CONTINUOUS	Alpha_carbonic_anhydrase
A0A066WUN3	Carbonic anhydrase	289	CSUB01_02107	1173701	Colletotrichum sublineola	Colletotrichum sublineola (Sorghum anthracnose fungus)	True	IPR036398	homologous_superfamily		289	38	284	CONTINUOUS	Alpha_carbonic_anhydrase
A0A066WWX1	Carbonic anhydrase	277	CSUB01_00719	1173701	Colletotrichum sublineola	Colletotrichum sublineola (Sorghum anthracnose fungus)	True	IPR036398	homologous_superfamily		277	30	271	CONTINUOUS	Alpha_carbonic_anhydrase
