protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A060RS05	tRNA (guanine(37)-N1)-methyltransferase	766	PRCDC_0912300	5854	Plasmodium reichenowi	Plasmodium reichenowi	True	IPR056743	domain		766	421	521	CONTINUOUS	trm5
A0A060RTD0	tRNA(Phe) 7-[(3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4)]-methyltransferase	1865	PRCDC_1018000	5854	Plasmodium reichenowi	Plasmodium reichenowi	False	IPR056743	domain		1865	1605	1725	CONTINUOUS	trm5
A0A060RWA1	Uncharacterized protein	570	PRCDC_1245900	5854	Plasmodium reichenowi	Plasmodium reichenowi	True	IPR056743	domain		570	353	436	CONTINUOUS	trm5
A0A061APY2	tRNA (guanine(37)-N1)-methyltransferase	469	TRM5	36022	Cyberlindnera fabianii	Cyberlindnera fabianii (Yeast)	True	IPR056743	domain		469	222	320	CONTINUOUS	trm5
A0A061D8S2	tRNA (guanine(37)-N1)-methyltransferase	425	BBBOND_0302560	5866	Babesia bigemina	Babesia bigemina	True	IPR056743	domain		425	208	310	CONTINUOUS	trm5
A0A061F6U3	tRNA (guanine(37)-N1)-methyltransferase	589	TCM_031290	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR056743	domain		589	380	514	CONTINUOUS	trm5
A0A061F7U9	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	468	TCM_031290	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR056743	domain		468	380	467	CONTINUOUS	trm5
A0A061GFS3	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	836	TCM_030223	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR056743	domain		836	634	774	CONTINUOUS	trm5
A0A061GGM5	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	755	TCM_030223	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR056743	domain		755	634	745	CONTINUOUS	trm5
A0A061GH36	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	785	TCM_030223	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR056743	domain		785	634	747	CONTINUOUS	trm5
A0A061GHU1	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	758	TCM_030223	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR056743	domain		758	634	744	CONTINUOUS	trm5
A0A061GLX9	tRNA (guanine(37)-N1)-methyltransferase	491	TCM_037932	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR056743	domain		491	173	275	CONTINUOUS	trm5
A0A061GMW4	tRNA (guanine(37)-N1)-methyltransferase	499	TCM_037932	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR056743	domain		499	181	283	CONTINUOUS	trm5
A0A061GNN3	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	1048	TCM_030223	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR056743	domain		1048	846	986	CONTINUOUS	trm5
A0A061J9H7	tRNA (guanine(37)-N1)-methyltransferase	509	TRSC58_01264	429131	Trypanosoma rangeli SC58	Trypanosoma rangeli SC58	True	IPR056743	domain		509	259	371	CONTINUOUS	trm5
A0A061JD19	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	391	TRSC58_01067	429131	Trypanosoma rangeli SC58	Trypanosoma rangeli SC58	True	IPR056743	domain		391	193	349	CONTINUOUS	trm5
A0A062UZH8	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	333	taw2	1392998	Candidatus Methanoperedens nitratireducens	Candidatus Methanoperedens nitratireducens	True	IPR056743	domain		333	149	304	CONTINUOUS	trm5
A0A062V2W3	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	267	ANME2D_01766	1392998	Candidatus Methanoperedens nitratireducens	Candidatus Methanoperedens nitratireducens	True	IPR056743	domain		267	85	225	CONTINUOUS	trm5
A0A062V3C4	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	322	ANME2D_03440	1392998	Candidatus Methanoperedens nitratireducens	Candidatus Methanoperedens nitratireducens	True	IPR056743	domain		322	135	297	CONTINUOUS	trm5
A0A066V7S3	tRNA (guanine(37)-N1)-methyltransferase	550	TRM5	1037660	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	True	IPR056743	domain		550	248	343	CONTINUOUS	trm5
A0A066XCW7	tRNA (guanine(37)-N1)-methyltransferase	459	TRM5	1173701	Colletotrichum sublineola	Colletotrichum sublineola (Sorghum anthracnose fungus)	True	IPR056743	domain		459	208	306	CONTINUOUS	trm5
A0A067BZH7	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	1045	SPRG_10645	695850	Saprolegnia parasitica (strain CBS 223.65)	Saprolegnia parasitica (strain CBS 223.65)	True	IPR056743	domain		1045	848	988	CONTINUOUS	trm5
A0A067CQR3	tRNA (guanine(37)-N1)-methyltransferase	398	SPRG_05742	695850	Saprolegnia parasitica (strain CBS 223.65)	Saprolegnia parasitica (strain CBS 223.65)	True	IPR056743	domain		398	186	340	CONTINUOUS	trm5
A0A067G6P2	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	207	CISIN_1g0075251mg	2711	Citrus sinensis	Citrus sinensis (Sweet orange)	True	IPR056743	domain		207	13	132	CONTINUOUS	trm5
A0A067GF57	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	1057	CISIN_1g036185mg	2711	Citrus sinensis	Citrus sinensis (Sweet orange)	True	IPR056743	domain		1057	862	1021	CONTINUOUS	trm5
A0A067GFS5	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	185	CISIN_1g0456381mg	2711	Citrus sinensis	Citrus sinensis (Sweet orange)	True	IPR056743	domain		185	17	110	CONTINUOUS	trm5
A0A067GY84	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	380	CISIN_1g046527mg	2711	Citrus sinensis	Citrus sinensis (Sweet orange)	True	IPR056743	domain		380	60	159	CONTINUOUS	trm5
A0A067JDE0	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	1017	JCGZ_21219	180498	Jatropha curcas	Jatropha curcas (Barbados nut)	True	IPR056743	domain		1017	822	962	CONTINUOUS	trm5
A0A067KJ91	tRNA (guanine(37)-N1)-methyltransferase	466	JCGZ_13245	180498	Jatropha curcas	Jatropha curcas (Barbados nut)	True	IPR056743	domain		466	160	259	CONTINUOUS	trm5
A0A067L388	tRNA (guanine(37)-N1)-methyltransferase	593	JCGZ_00722	180498	Jatropha curcas	Jatropha curcas (Barbados nut)	True	IPR056743	domain		593	387	521	CONTINUOUS	trm5
A0A067N292	tRNA (guanine(37)-N1)-methyltransferase	453	TRM5	930990	Botryobasidium botryosum (strain FD-172 SS1)	Botryobasidium botryosum (strain FD-172 SS1)	True	IPR056743	domain		453	201	296	CONTINUOUS	trm5
A0A067Q819	tRNA (guanine(37)-N1)-methyltransferase	455	TRM5	933084	Jaapia argillacea MUCL 33604	Jaapia argillacea MUCL 33604	True	IPR056743	domain		455	203	300	CONTINUOUS	trm5
A0A067R2I7	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	448	L798_14120	136037	Zootermopsis nevadensis	Zootermopsis nevadensis (Dampwood termite)	True	IPR056743	domain		448	181	315	CONTINUOUS	trm5
A0A067R9N8	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	433	L798_06844	136037	Zootermopsis nevadensis	Zootermopsis nevadensis (Dampwood termite)	True	IPR056743	domain		433	218	321	CONTINUOUS	trm5
A0A067U2W3	tRNA (guanine(37)-N1)-methyltransferase	457	TRM5	685588	Galerina marginata (strain CBS 339.88)	Galerina marginata (strain CBS 339.88)	True	IPR056743	domain		457	200	297	CONTINUOUS	trm5
A0A068RKR9	tRNA (guanine(37)-N1)-methyltransferase	426	TRM5	1263082	Lichtheimia corymbifera JMRC:FSU:9682	Lichtheimia corymbifera JMRC:FSU:9682	True	IPR056743	domain		426	196	335	CONTINUOUS	trm5
A0A068U873	tRNA wybutosine-synthesizing protein 3	1054	GSCOC_T00017776001	49390	Coffea canephora	Coffea canephora (Robusta coffee)	True	IPR056743	domain		1054	860	1023	CONTINUOUS	trm5
A0A068UDY4	tRNA (guanine(37)-N1)-methyltransferase	601	GSCOC_T00021142001	49390	Coffea canephora	Coffea canephora (Robusta coffee)	True	IPR056743	domain		601	392	524	CONTINUOUS	trm5
A0A068UR44	tRNA (guanine(37)-N1)-methyltransferase	496	GSCOC_T00031874001	49390	Coffea canephora	Coffea canephora (Robusta coffee)	True	IPR056743	domain		496	188	285	CONTINUOUS	trm5
A0A068Y6E7	tRNA (guanine(37)-N1)-methyltransferase	485	EmuJ_000513700	6211	Echinococcus multilocularis	Echinococcus multilocularis (Fox tapeworm)	True	IPR056743	domain		485	228	349	CONTINUOUS	trm5
A0A069DSQ2	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	358		65343	Panstrongylus megistus	Panstrongylus megistus	True	IPR056743	domain		358	113	251	CONTINUOUS	trm5
A0A069DUI6	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	455		65343	Panstrongylus megistus	Panstrongylus megistus	True	IPR056743	domain		455	208	312	CONTINUOUS	trm5
A0A072PLC3	tRNA (guanine(37)-N1)-methyltransferase	490	TRM5	1182545	Exophiala aquamarina CBS 119918	Exophiala aquamarina CBS 119918	True	IPR056743	domain		490	218	317	CONTINUOUS	trm5
A0A072UQY3	tRNA (guanine(37)-N1)-methyltransferase	474	MTR_4g112015	3880	Medicago truncatula	Medicago truncatula (Barrel medic)	True	IPR056743	domain		474	161	258	CONTINUOUS	trm5
A0A073J7Z4	TRM5/TYW2-like methyltransferase domain-containing protein	232	SUH3_02785	1402135	Pseudosulfitobacter pseudonitzschiae	Pseudosulfitobacter pseudonitzschiae	True	IPR056743	domain		232	50	105	CONTINUOUS	trm5
A0A074S1U4	tRNA (guanine(37)-N1)-methyltransferase	483	TRM5	1423351	Rhizoctonia solani 123E	Rhizoctonia solani 123E	True	IPR056743	domain		483	194	306	CONTINUOUS	trm5
A0A074VME9	tRNA (guanine(37)-N1)-methyltransferase	461	TRM5	1043003	Aureobasidium melanogenum (strain CBS 110374)	Aureobasidium melanogenum (strain CBS 110374)	True	IPR056743	domain		461	210	305	CONTINUOUS	trm5
A0A074X0J5	tRNA (guanine(37)-N1)-methyltransferase	461	TRM5	1043004	Aureobasidium namibiae CBS 147.97	Aureobasidium namibiae CBS 147.97	True	IPR056743	domain		461	210	305	CONTINUOUS	trm5
A0A074X5Z1	tRNA (guanine(37)-N1)-methyltransferase	463	TRM5	1043002	Aureobasidium pullulans EXF-150	Aureobasidium pullulans EXF-150	True	IPR056743	domain		463	212	306	CONTINUOUS	trm5
A0A074YAG3	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	457	AUEXF2481DRAFT_40734	1043005	Aureobasidium subglaciale (strain EXF-2481)	Aureobasidium subglaciale (strain EXF-2481)	True	IPR056743	domain		457	206	306	CONTINUOUS	trm5
A0A074YZB7	tRNA (guanine(37)-N1)-methyltransferase	503	T265_11248	6198	Opisthorchis viverrini	Opisthorchis viverrini (Southeast Asian liver fluke)	True	IPR056743	domain		503	235	335	CONTINUOUS	trm5
A0A075ATB1	tRNA (guanine(37)-N1)-methyltransferase	316	TRM5	988480	Rozella allomycis (strain CSF55)	Rozella allomycis (strain CSF55)	True	IPR056743	domain		316	134	272	CONTINUOUS	trm5
A0A075LQK7	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	292	taw2	1343739	Palaeococcus pacificus DY20341	Palaeococcus pacificus DY20341	True	IPR056743	domain		292	104	265	CONTINUOUS	trm5
A0A075LUR7	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	337	PAP_07480	1343739	Palaeococcus pacificus DY20341	Palaeococcus pacificus DY20341	True	IPR056743	domain		337	152	315	CONTINUOUS	trm5
A0A075LWS3	tRNA (guanine(37)-N(1))-methyltransferase Trm5b	332	PAP_02890	1343739	Palaeococcus pacificus DY20341	Palaeococcus pacificus DY20341	True	IPR056743	domain		332	148	307	CONTINUOUS	trm5
A0A075MN57	tRNA (guanine(37)-N(1))-methyltransferase	283	NTE_00608	1459636	Candidatus Nitrososphaera evergladensis SR1	Candidatus Nitrososphaera evergladensis SR1	True	IPR056743	domain		283	88	232	CONTINUOUS	trm5
A0A076LEX5	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	247	taw2	1301915	Methanocaldococcus bathoardescens	Methanocaldococcus bathoardescens	True	IPR056743	domain		247	59	220	CONTINUOUS	trm5
A0A076LG54	tRNA (guanine(37)-N(1))-methyltransferase Trm5b	336	JH146_1024	1301915	Methanocaldococcus bathoardescens	Methanocaldococcus bathoardescens	True	IPR056743	domain		336	160	311	CONTINUOUS	trm5
A0A077L6S0	TRM5/TYW2-like methyltransferase domain-containing protein	262	MCAN360_0616	29554	Metamycoplasma canadense	Metamycoplasma canadense	True	IPR056743	domain		262	57	110	CONTINUOUS	trm5
A0A077Z475	tRNA (guanine(37)-N1)-methyltransferase	415	TTRE_0000274301	36087	Trichuris trichiura	Trichuris trichiura (Whipworm)	True	IPR056743	domain		415	202	335	CONTINUOUS	trm5
A0A078BAM3	tRNA (guanine(37)-N1)-methyltransferase	437	Contig2501.g2690	5949	Stylonychia lemnae	Stylonychia lemnae (Ciliate)	True	IPR056743	domain		437	172	313	CONTINUOUS	trm5
A0A078G994	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	992	BnaC03g29970D	3708	Brassica napus	Brassica napus (Rape)	True	IPR056743	domain		992	800	940	CONTINUOUS	trm5
A0A078GPT5	tRNA (guanine(37)-N1)-methyltransferase	454	BnaA09g35580D	3708	Brassica napus	Brassica napus (Rape)	True	IPR056743	domain		454	183	280	CONTINUOUS	trm5
A0A078GVW1	tRNA (guanine(37)-N1)-methyltransferase	596	BnaC01g19510D	3708	Brassica napus	Brassica napus (Rape)	True	IPR056743	domain		596	386	519	CONTINUOUS	trm5
A0A081RPP0	tRNA (guanine(37)-N(1))-methyltransferase	275	trm1	1502293	Marine Group I thaumarchaeote SCGC AAA799-N04	Marine Group I thaumarchaeote SCGC AAA799-N04	True	IPR056743	domain		275	85	224	CONTINUOUS	trm5
A0A081S828	tRNA (guanine(37)-N(1))-methyltransferase	275	trm1	1502292	Marine Group I thaumarchaeote SCGC AAA799-E16	Marine Group I thaumarchaeote SCGC AAA799-E16	True	IPR056743	domain		275	85	224	CONTINUOUS	trm5
A0A084AQG4	tRNA (guanine(37)-N1)-methyltransferase	456	TRM5	1280523	Stachybotrys chartarum (strain CBS 109288 / IBT 7711)	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold)	True	IPR056743	domain		456	206	309	CONTINUOUS	trm5
A0A084GBA1	tRNA (guanine(37)-N1)-methyltransferase	743	TRM5	563466	Pseudallescheria apiosperma	Pseudallescheria apiosperma	True	IPR056743	domain		743	491	587	CONTINUOUS	trm5
A0A084QJR8	tRNA (guanine(37)-N1)-methyltransferase	456	TRM5	1283841	Stachybotrys chlorohalonatus (strain IBT 40285)	Stachybotrys chlorohalonatus (strain IBT 40285)	True	IPR056743	domain		456	206	311	CONTINUOUS	trm5
A0A084VW66	tRNA (guanine(37)-N1)-methyltransferase	470		74873	Anopheles sinensis	Anopheles sinensis (Mosquito)	True	IPR056743	domain		470	221	319	CONTINUOUS	trm5
A0A086IZT7	tRNA (guanine(37)-N1)-methyltransferase	410	TRM5	1913371	Nematocida ausubeli (strain ATCC PRA-371 / ERTm2)	Nematocida ausubeli (strain ATCC PRA-371 / ERTm2) (Nematode killer fungus)	True	IPR056743	domain		410	197	319	CONTINUOUS	trm5
A0A086T559	tRNA (guanine(37)-N1)-methyltransferase	463	TRM5	857340	Hapsidospora chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / IAM 14645 / JCM 23072 / IMI 49137)	Hapsidospora chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / IAM 14645 / JCM 23072 / IMI 49137)	True	IPR056743	domain		463	211	313	CONTINUOUS	trm5
A0A087GH97	tRNA (guanine(37)-N1)-methyltransferase	601	AALP_Aa7g108700	50452	Arabis alpina	Arabis alpina (Alpine rock-cress)	True	IPR056743	domain		601	390	523	CONTINUOUS	trm5
A0A087GYA3	tRNA (guanine(37)-N1)-methyltransferase	426	AALP_Aa5g201900	50452	Arabis alpina	Arabis alpina (Alpine rock-cress)	True	IPR056743	domain		426	181	282	CONTINUOUS	trm5
A0A087QGR9	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	501	AS27_10289	9233	Aptenodytes forsteri	Aptenodytes forsteri (Emperor penguin)	True	IPR056743	domain		501	261	367	CONTINUOUS	trm5
A0A087R7H4	tRNA wybutosine-synthesizing protein 2 homolog	350	AS27_00748	9233	Aptenodytes forsteri	Aptenodytes forsteri (Emperor penguin)	True	IPR056743	domain		350	108	247	CONTINUOUS	trm5
A0A087RV81	tRNA (guanine(37)-N(1))-methyltransferase	275	trm1	1502291	Marine Group I thaumarchaeote SCGC AAA799-D11	Marine Group I thaumarchaeote SCGC AAA799-D11	True	IPR056743	domain		275	85	224	CONTINUOUS	trm5
A0A087S100	tRNA (guanine(37)-N(1))-methyltransferase	275	prmA	1503183	Marine Group I thaumarchaeote SCGC RSA3	Marine Group I thaumarchaeote SCGC RSA3	True	IPR056743	domain		275	85	224	CONTINUOUS	trm5
A0A087S8P8	tRNA (guanine(37)-N(1))-methyltransferase	275	trm1	1502289	Marine Group I thaumarchaeote SCGC AAA799-B03	Marine Group I thaumarchaeote SCGC AAA799-B03	True	IPR056743	domain		275	85	224	CONTINUOUS	trm5
A0A087SLS3	tRNA (guanine(37)-N1)-methyltransferase	319	F751_6634	3075	Auxenochlorella protothecoides	Auxenochlorella protothecoides (Green microalga)	True	IPR056743	domain		319	70	174	CONTINUOUS	trm5
A0A087UFA5	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	327	X975_07720	407821	Stegodyphus mimosarum	Stegodyphus mimosarum (African social velvet spider)	True	IPR056743	domain		327	107	247	CONTINUOUS	trm5
A0A087VCK1	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	499	N312_00583	100784	Balearica regulorum gibbericeps	Balearica regulorum gibbericeps (East African grey crowned-crane)	True	IPR056743	domain		499	261	399	CONTINUOUS	trm5
A0A087VG27	tRNA wybutosine-synthesizing protein 2 homolog	340	N312_06371	100784	Balearica regulorum gibbericeps	Balearica regulorum gibbericeps (East African grey crowned-crane)	True	IPR056743	domain		340	98	243	CONTINUOUS	trm5
A0A087XSA0	tRNA (guanine(37)-N1)-methyltransferase	431	TRMT5	48698	Poecilia formosa	Poecilia formosa (Amazon molly)	True	IPR056743	domain		431	199	334	CONTINUOUS	trm5
A0A087YG56	tRNA wybutosine-synthesizing protein 2 homolog	403		48698	Poecilia formosa	Poecilia formosa (Amazon molly)	True	IPR056743	domain		403	193	325	CONTINUOUS	trm5
A0A088RJC7	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	390	LPMP_030050	5679	Leishmania panamensis	Leishmania panamensis	True	IPR056743	domain		390	194	354	CONTINUOUS	trm5
A0A088RLH4	tRNA (guanine(37)-N1)-methyltransferase	693	LPMP_160320	5679	Leishmania panamensis	Leishmania panamensis	True	IPR056743	domain		693	398	502	CONTINUOUS	trm5
A0A089ZUV1	tRNA (guanine(37)-N(1))-methyltransferase	343	MB9_1539	2162	Methanobacterium formicicum	Methanobacterium formicicum	True	IPR056743	domain		343	157	321	CONTINUOUS	trm5
A0A090I2J6	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	246	taw2	2162	Methanobacterium formicicum	Methanobacterium formicicum	True	IPR056743	domain		246	59	222	CONTINUOUS	trm5
A0A090KWH8	tRNA (guanine(37)-N1)-methyltransferase	439	SRAE_1000003800	34506	Strongyloides ratti	Strongyloides ratti (Parasitic roundworm)	True	IPR056743	domain		439	192	336	CONTINUOUS	trm5
A0A090M1A4	tRNA (guanine(37)-N1)-methyltransferase	464	OT_ostta05g02975	70448	Ostreococcus tauri	Ostreococcus tauri (Marine green alga)	True	IPR056743	domain		464	196	294	CONTINUOUS	trm5
A0A091CYG0	tRNA (guanine(37)-N1)-methyltransferase	542	TRMT5	885580	Fukomys damarensis	Fukomys damarensis (Damaraland mole rat)	True	IPR056743	domain		542	296	436	CONTINUOUS	trm5
A0A091DC70	tRNA wybutosine-synthesizing protein 2 homolog	439	H920_18192	885580	Fukomys damarensis	Fukomys damarensis (Damaraland mole rat)	True	IPR056743	domain		439	191	331	CONTINUOUS	trm5
A0A091EZ59	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	501	N302_06456	85066	Corvus brachyrhynchos	Corvus brachyrhynchos (American crow)	True	IPR056743	domain		501	261	398	CONTINUOUS	trm5
A0A091G4R9	tRNA wybutosine-synthesizing protein 2 homolog	400	N303_10517	55661	Cuculus canorus	Cuculus canorus (Common cuckoo)	True	IPR056743	domain		400	171	312	CONTINUOUS	trm5
A0A091G9Z4	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	497	N303_00762	55661	Cuculus canorus	Cuculus canorus (Common cuckoo)	True	IPR056743	domain		497	261	396	CONTINUOUS	trm5
A0A091I037	tRNA wybutosine-synthesizing protein 2 homolog	407	N300_04734	9244	Calypte anna	Calypte anna (Anna's hummingbird)	True	IPR056743	domain		407	171	312	CONTINUOUS	trm5
