protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A023EQX2	Ubiquitin carboxyl-terminal hydrolase	326		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR001578	domain		326	6	308	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023F4R4	Ubiquitin carboxyl-terminal hydrolase	455		30076	Triatoma infestans	Triatoma infestans (Assassin bug)	False	IPR001578	domain		455	10	268	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023FA18	Ubiquitin carboxyl-terminal hydrolase	324		30076	Triatoma infestans	Triatoma infestans (Assassin bug)	True	IPR001578	domain		324	5	297	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023FKN6	Ubiquitin carboxyl-terminal hydrolase	329		34607	Amblyomma cajennense	Amblyomma cajennense (Cayenne tick)	True	IPR001578	domain		329	10	260	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023FLF1	Ubiquitin carboxyl-terminal hydrolase	320		34607	Amblyomma cajennense	Amblyomma cajennense (Cayenne tick)	True	IPR001578	domain		320	8	311	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023FV42	Ubiquitin carboxyl-terminal hydrolase	233		251391	Amblyomma parvum	Amblyomma parvum (South American tick)	True	IPR001578	domain		233	5	230	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023GAZ6	Ubiquitin carboxyl-terminal hydrolase	233		251400	Amblyomma triste	Amblyomma triste (Neotropical tick)	True	IPR001578	domain		233	5	230	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023GC21	Ubiquitin carboxyl-terminal hydrolase	233		251400	Amblyomma triste	Amblyomma triste (Neotropical tick)	True	IPR001578	domain		233	5	230	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023GF67	Ubiquitin carboxyl-terminal hydrolase	233		251400	Amblyomma triste	Amblyomma triste (Neotropical tick)	True	IPR001578	domain		233	5	230	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023GKP6	Ubiquitin carboxyl-terminal hydrolase	325		251400	Amblyomma triste	Amblyomma triste (Neotropical tick)	True	IPR001578	domain		325	11	311	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A024G9P5	Ubiquitin carboxyl-terminal hydrolase	237	BN9_038310	65357	Albugo candida	Albugo candida	True	IPR001578	domain		237	5	232	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A024GQ27	Ubiquitin carboxyl-terminal hydrolase	317	BN9_098590	65357	Albugo candida	Albugo candida	True	IPR001578	domain		317	2	307	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A026W3A1	Ubiquitin carboxyl-terminal hydrolase	311	X777_10906	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR001578	domain		311	7	240	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A026WJW2	Ubiquitin carboxyl-terminal hydrolase	218	X777_02871	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR001578	domain		218	2	216	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A026X405	Ubiquitin carboxyl-terminal hydrolase	609	X777_07552	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR001578	domain		609	10	308	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A034WE06	Ubiquitin carboxyl-terminal hydrolase	325	LOC105230044	27457	Bactrocera dorsalis	Bactrocera dorsalis (Oriental fruit fly)	True	IPR001578	domain		325	7	308	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A034WMU2	Ubiquitin carboxyl-terminal hydrolase	429	LOC105225771	27457	Bactrocera dorsalis	Bactrocera dorsalis (Oriental fruit fly)	True	IPR001578	domain		429	10	330	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A034WUY1	Ubiquitin carboxyl-terminal hydrolase	227	LOC105229285	27457	Bactrocera dorsalis	Bactrocera dorsalis (Oriental fruit fly)	True	IPR001578	domain		227	3	224	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A058ZA59	Ubiquitin carboxyl-terminal hydrolase	1211	H696_02086	691883	Fonticula alba	Fonticula alba (Slime mold)	True	IPR001578	domain		1211	985	1206	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A059J514	Ubiquitin carboxyl-terminal hydrolase	415	H109_05161	1215338	Trichophyton interdigitale (strain MR816)	Trichophyton interdigitale (strain MR816)	True	IPR001578	domain		415	46	291	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A059JCC0	Ubiquitin carboxyl-terminal hydrolase	251	H109_02622	1215338	Trichophyton interdigitale (strain MR816)	Trichophyton interdigitale (strain MR816)	True	IPR001578	domain		251	13	248	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A059JIQ4	Ubiquitin carboxyl-terminal hydrolase	256	H109_00472	1215338	Trichophyton interdigitale (strain MR816)	Trichophyton interdigitale (strain MR816)	True	IPR001578	domain		256	17	253	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A059JJL2	Ubiquitin carboxyl-terminal hydrolase	323	H109_00248	1215338	Trichophyton interdigitale (strain MR816)	Trichophyton interdigitale (strain MR816)	True	IPR001578	domain		323	7	247	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A060RZE0	ubiquitinyl hydrolase 1	457	UCH54	5854	Plasmodium reichenowi	Plasmodium reichenowi	True	IPR001578	domain		457	11	401	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A060S098	Ubiquitin carboxyl-terminal hydrolase	232	UCHL3	5854	Plasmodium reichenowi	Plasmodium reichenowi	True	IPR001578	domain		232	6	226	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A060S4K6	Ubiquitin carboxyl-terminal hydrolase	322	BN946_scf185042.g162	5643	Pycnoporus cinnabarinus	Pycnoporus cinnabarinus (Cinnabar-red polypore)	True	IPR001578	domain		322	9	259	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A060SN34	ubiquitinyl hydrolase 1	489	BN946_scf184873.g26	5643	Pycnoporus cinnabarinus	Pycnoporus cinnabarinus (Cinnabar-red polypore)	True	IPR001578	domain		489	14	305	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A060SYM8	Ubiquitin carboxyl-terminal hydrolase	177	BN946_scf184969.g14	5643	Pycnoporus cinnabarinus	Pycnoporus cinnabarinus (Cinnabar-red polypore)	True	IPR001578	domain		177	1	171	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A061EVG9	ubiquitinyl hydrolase 1	243	TCM_024461	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR001578	domain		243	1	237	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A061EW93	Ubiquitin carboxyl-terminal hydrolase	334	TCM_024461	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR001578	domain		334	2	328	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A061EWP2	Ubiquitin carboxyl-terminal hydrolase	335	TCM_024461	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR001578	domain		335	2	329	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A061F3I6	Ubiquitin carboxyl-terminal hydrolase	335	TCM_024461	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR001578	domain		335	2	329	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A061G3U9	Ubiquitin carboxyl-terminal hydrolase	236	TCM_015896	3641	Theobroma cacao	Theobroma cacao (Cacao)	True	IPR001578	domain		236	11	230	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A061IWU4	Ubiquitin carboxyl-terminal hydrolase	310	TRSC58_04725	429131	Trypanosoma rangeli SC58	Trypanosoma rangeli SC58	True	IPR001578	domain		310	3	295	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A061J2A8	Ubiquitin carboxyl-terminal hydrolase	236	TRSC58_04039	429131	Trypanosoma rangeli SC58	Trypanosoma rangeli SC58	True	IPR001578	domain		236	3	233	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A066WGM6	Ubiquitin carboxyl-terminal hydrolase	246	K437DRAFT_253581	1037660	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	Tilletiaria anomala (strain ATCC 24038 / CBS 436.72 / UBC 951)	True	IPR001578	domain		246	13	244	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A066X2N7	Ubiquitin carboxyl-terminal hydrolase	310	CSUB01_07715	1173701	Colletotrichum sublineola	Colletotrichum sublineola (Sorghum anthracnose fungus)	True	IPR001578	domain		310	76	308	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A066XMX7	Ubiquitin carboxyl-terminal hydrolase	318	CSUB01_03472	1173701	Colletotrichum sublineola	Colletotrichum sublineola (Sorghum anthracnose fungus)	True	IPR001578	domain		318	4	231	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A066XNS2	Ubiquitin carboxyl-terminal hydrolase	251	CSUB01_10353	1173701	Colletotrichum sublineola	Colletotrichum sublineola (Sorghum anthracnose fungus)	True	IPR001578	domain		251	14	249	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A066XQH2	Ubiquitin carboxyl-terminal hydrolase	247	CSUB01_09702	1173701	Colletotrichum sublineola	Colletotrichum sublineola (Sorghum anthracnose fungus)	True	IPR001578	domain		247	14	244	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A066Y0D8	ubiquitinyl hydrolase 1	528	CSUB01_01649	1173701	Colletotrichum sublineola	Colletotrichum sublineola (Sorghum anthracnose fungus)	True	IPR001578	domain		528	142	397	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067C1R0	Ubiquitin carboxyl-terminal hydrolase	249	SPRG_10207	695850	Saprolegnia parasitica (strain CBS 223.65)	Saprolegnia parasitica (strain CBS 223.65)	True	IPR001578	domain		249	10	242	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067C2K5	Ubiquitin carboxyl-terminal hydrolase	314	SPRG_11467	695850	Saprolegnia parasitica (strain CBS 223.65)	Saprolegnia parasitica (strain CBS 223.65)	True	IPR001578	domain		314	2	278	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067D0V6	Ubiquitin carboxyl-terminal hydrolase	226	SPRG_02878	695850	Saprolegnia parasitica (strain CBS 223.65)	Saprolegnia parasitica (strain CBS 223.65)	True	IPR001578	domain		226	8	222	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067EMN3	Ubiquitin carboxyl-terminal hydrolase	312	CISIN_1g019907mg	2711	Citrus sinensis	Citrus sinensis (Sweet orange)	True	IPR001578	domain		312	1	306	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067ER35	Ubiquitin carboxyl-terminal hydrolase	334	CISIN_1g019907mg	2711	Citrus sinensis	Citrus sinensis (Sweet orange)	True	IPR001578	domain		334	2	328	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067EYM9	Ubiquitin carboxyl-terminal hydrolase	315	CISIN_1g019907mg	2711	Citrus sinensis	Citrus sinensis (Sweet orange)	True	IPR001578	domain		315	1	309	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067KY60	Ubiquitin carboxyl-terminal hydrolase	236	JCGZ_03454	180498	Jatropha curcas	Jatropha curcas (Barbados nut)	True	IPR001578	domain		236	11	231	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067LN06	Ubiquitin carboxyl-terminal hydrolase	337	JCGZ_17421	180498	Jatropha curcas	Jatropha curcas (Barbados nut)	True	IPR001578	domain		337	2	328	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067LTM4	Ubiquitin carboxyl-terminal hydrolase	259	BOTBODRAFT_39452	930990	Botryobasidium botryosum (strain FD-172 SS1)	Botryobasidium botryosum (strain FD-172 SS1)	True	IPR001578	domain		259	13	255	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067LTR6	Ubiquitin carboxyl-terminal hydrolase	317	BOTBODRAFT_70937	930990	Botryobasidium botryosum (strain FD-172 SS1)	Botryobasidium botryosum (strain FD-172 SS1)	True	IPR001578	domain		317	9	247	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067M6I8	ubiquitinyl hydrolase 1	243	BOTBODRAFT_59977	930990	Botryobasidium botryosum (strain FD-172 SS1)	Botryobasidium botryosum (strain FD-172 SS1)	True	IPR001578	domain		243	1	203	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067MBG7	Ubiquitin carboxyl-terminal hydrolase	243	BOTBODRAFT_34032	930990	Botryobasidium botryosum (strain FD-172 SS1)	Botryobasidium botryosum (strain FD-172 SS1)	True	IPR001578	domain		243	3	240	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067MI00	Ubiquitin carboxyl-terminal hydrolase	433	BOTBODRAFT_57534	930990	Botryobasidium botryosum (strain FD-172 SS1)	Botryobasidium botryosum (strain FD-172 SS1)	True	IPR001578	domain		433	24	273	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067N2S7	ubiquitinyl hydrolase 1	120	BOTBODRAFT_97607	930990	Botryobasidium botryosum (strain FD-172 SS1)	Botryobasidium botryosum (strain FD-172 SS1)	True	IPR001578	domain		120	1	120	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067P379	Ubiquitin carboxyl-terminal hydrolase	325	JAAARDRAFT_42945	933084	Jaapia argillacea MUCL 33604	Jaapia argillacea MUCL 33604	True	IPR001578	domain		325	7	250	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067PVX0	ubiquitinyl hydrolase 1	282	JAAARDRAFT_254631	933084	Jaapia argillacea MUCL 33604	Jaapia argillacea MUCL 33604	True	IPR001578	domain		282	1	180	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067PWB4	Ubiquitin carboxyl-terminal hydrolase	260	JAAARDRAFT_59590	933084	Jaapia argillacea MUCL 33604	Jaapia argillacea MUCL 33604	True	IPR001578	domain		260	20	256	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067Q3F4	ubiquitinyl hydrolase 1	460	JAAARDRAFT_34821	933084	Jaapia argillacea MUCL 33604	Jaapia argillacea MUCL 33604	True	IPR001578	domain		460	19	340	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067QGA7	Ubiquitin carboxyl-terminal hydrolase	240	JAAARDRAFT_31120	933084	Jaapia argillacea MUCL 33604	Jaapia argillacea MUCL 33604	True	IPR001578	domain		240	5	238	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067QU01	Ubiquitin carboxyl-terminal hydrolase	194	L798_13495	136037	Zootermopsis nevadensis	Zootermopsis nevadensis (Dampwood termite)	True	IPR001578	domain		194	1	194	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067R6D1	Ubiquitin carboxyl-terminal hydrolase	334	L798_08213	136037	Zootermopsis nevadensis	Zootermopsis nevadensis (Dampwood termite)	True	IPR001578	domain		334	9	288	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067RLX3	Ubiquitin carboxyl-terminal hydrolase	692	L798_04592	136037	Zootermopsis nevadensis	Zootermopsis nevadensis (Dampwood termite)	True	IPR001578	domain		692	10	305	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067S5P3	ubiquitinyl hydrolase 1	489	GALMADRAFT_259613	685588	Galerina marginata (strain CBS 339.88)	Galerina marginata (strain CBS 339.88)	True	IPR001578	domain		489	1	337	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067S5V0	ubiquitinyl hydrolase 1	227	GALMADRAFT_259728	685588	Galerina marginata (strain CBS 339.88)	Galerina marginata (strain CBS 339.88)	True	IPR001578	domain		227	15	227	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067SEM9	ubiquitinyl hydrolase 1	85	GALMADRAFT_232697	685588	Galerina marginata (strain CBS 339.88)	Galerina marginata (strain CBS 339.88)	True	IPR001578	domain		85	1	85	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067SLS7	Ubiquitin carboxyl-terminal hydrolase	263	GALMADRAFT_253635	685588	Galerina marginata (strain CBS 339.88)	Galerina marginata (strain CBS 339.88)	True	IPR001578	domain		263	12	258	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067SV74	Ubiquitin carboxyl-terminal hydrolase	243	GALMADRAFT_159412	685588	Galerina marginata (strain CBS 339.88)	Galerina marginata (strain CBS 339.88)	True	IPR001578	domain		243	5	240	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A067T5V2	Ubiquitin carboxyl-terminal hydrolase	323	GALMADRAFT_123102	685588	Galerina marginata (strain CBS 339.88)	Galerina marginata (strain CBS 339.88)	True	IPR001578	domain		323	8	245	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A068RNZ6	Ubiquitin carboxyl-terminal hydrolase	236	LCOR_02969.1	1263082	Lichtheimia corymbifera JMRC:FSU:9682	Lichtheimia corymbifera JMRC:FSU:9682	True	IPR001578	domain		236	14	233	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A068RPR6	ubiquitinyl hydrolase 1	449	LCOR_03287.1	1263082	Lichtheimia corymbifera JMRC:FSU:9682	Lichtheimia corymbifera JMRC:FSU:9682	True	IPR001578	domain		449	90	318	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A068RSY5	ubiquitinyl hydrolase 1	361	LCOR_04667.1	1263082	Lichtheimia corymbifera JMRC:FSU:9682	Lichtheimia corymbifera JMRC:FSU:9682	True	IPR001578	domain		361	11	238	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A068RTF6	ubiquitinyl hydrolase 1	225	LCOR_04667.1	1263082	Lichtheimia corymbifera JMRC:FSU:9682	Lichtheimia corymbifera JMRC:FSU:9682	True	IPR001578	domain		225	11	225	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A068RUK9	ubiquitinyl hydrolase 1	396	LCOR_04667.1	1263082	Lichtheimia corymbifera JMRC:FSU:9682	Lichtheimia corymbifera JMRC:FSU:9682	True	IPR001578	domain		396	11	240	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A068S2G2	Ubiquitin carboxyl-terminal hydrolase	355	LCOR_06583.1	1263082	Lichtheimia corymbifera JMRC:FSU:9682	Lichtheimia corymbifera JMRC:FSU:9682	True	IPR001578	domain		355	31	264	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A068U6R7	Ubiquitin carboxyl-terminal hydrolase	334	GSCOC_T00016538001	49390	Coffea canephora	Coffea canephora (Robusta coffee)	True	IPR001578	domain		334	2	328	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A068UJR1	Ubiquitin carboxyl-terminal hydrolase	110	GSCOC_T00027387001	49390	Coffea canephora	Coffea canephora (Robusta coffee)	True	IPR001578	domain		110	1	110	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A068UNJ8	Ubiquitin carboxyl-terminal hydrolase	233	GSCOC_T00030561001	49390	Coffea canephora	Coffea canephora (Robusta coffee)	True	IPR001578	domain		233	9	229	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
