protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A061IJ01,Integrin alpha-5,1053,Itga5,10029,Cricetulus griseus,Cricetulus griseus (Chinese hamster),True,IPR013649,domain,,1053,493,647,CONTINUOUS
A0A067QKE7,Integrin alpha-PS2,1353,L798_00509,136037,Zootermopsis nevadensis,Zootermopsis nevadensis (Dampwood termite),False,IPR013649,domain,,1353,196,357,CONTINUOUS
A0A067QUQ4,Integrin alpha-PS1,1034,L798_01617,136037,Zootermopsis nevadensis,Zootermopsis nevadensis (Dampwood termite),True,IPR013649,domain,,1034,402,573,CONTINUOUS
A0A067QVE4,Integrin alpha-PS3,830,L798_01742,136037,Zootermopsis nevadensis,Zootermopsis nevadensis (Dampwood termite),True,IPR013649,domain,,830,284,411,CONTINUOUS
A0A068BA00,Integrin alpha first immunoglubulin-like domain-containing protein,244,,9838,Camelus dromedarius,Camelus dromedarius (Dromedary),True,IPR013649,domain,,244,47,201,CONTINUOUS
A0A076JVB3,Integrin alpha1,1112,,7091,Bombyx mori,Bombyx mori (Silk moth),True,IPR013649,domain,,1112,465,626,CONTINUOUS
A0A077Z3W2,Integrin alpha pat 2,1131,TTRE_0000280401,36087,Trichuris trichiura,Trichuris trichiura (Whipworm),False,IPR013649,domain,,1131,484,654,CONTINUOUS
A0A077ZDE1,Protein ina fg gap protein,1008,TTRE_0000489001,36087,Trichuris trichiura,Trichuris trichiura (Whipworm),True,IPR013649,domain,,1008,395,540,CONTINUOUS
A0A084VA89,Uncharacterized protein,1290,,74873,Anopheles sinensis,Anopheles sinensis (Mosquito),False,IPR013649,domain,,1290,247,409,CONTINUOUS
A0A084VNX9,Uncharacterized protein,1194,,74873,Anopheles sinensis,Anopheles sinensis (Mosquito),True,IPR013649,domain,,1194,468,672,CONTINUOUS
A0A085N053,Uncharacterized protein,1086,M513_03640,68888,Trichuris suis,Trichuris suis (pig whipworm),True,IPR013649,domain,,1086,457,609,CONTINUOUS
A0A085N933,Uncharacterized protein,1152,M513_03153,68888,Trichuris suis,Trichuris suis (pig whipworm),True,IPR013649,domain,,1152,501,663,CONTINUOUS
A0A087QGY9,Integrin alpha-4,515,AS27_10592,9233,Aptenodytes forsteri,Aptenodytes forsteri (Emperor penguin),True,IPR013649,domain,,515,1,105,CONTINUOUS
A0A087QQW9,Integrin alpha-9,975,AS27_07458,9233,Aptenodytes forsteri,Aptenodytes forsteri (Emperor penguin),True,IPR013649,domain,,975,397,558,CONTINUOUS
A0A087QV73,Integrin alpha-8,922,AS27_03753,9233,Aptenodytes forsteri,Aptenodytes forsteri (Emperor penguin),True,IPR013649,domain,,922,410,570,CONTINUOUS
A0A087QZZ2,VWFA domain-containing protein,941,AS27_13471,9233,Aptenodytes forsteri,Aptenodytes forsteri (Emperor penguin),True,IPR013649,domain,,941,470,612,CONTINUOUS
A0A087R0M8,Integrin alpha-6,1074,AS27_06869,9233,Aptenodytes forsteri,Aptenodytes forsteri (Emperor penguin),True,IPR013649,domain,,1074,446,608,CONTINUOUS
A0A087R4B1,VWFA domain-containing protein,1168,AS27_14970,9233,Aptenodytes forsteri,Aptenodytes forsteri (Emperor penguin),True,IPR013649,domain,,1168,621,744,CONTINUOUS
A0A087R9M1,Integrin alpha-V,948,AS27_10243,9233,Aptenodytes forsteri,Aptenodytes forsteri (Emperor penguin),True,IPR013649,domain,,948,369,525,CONTINUOUS
A0A087TA05,Integrin alpha first immunoglubulin-like domain-containing protein,632,X975_00024,407821,Stegodyphus mimosarum,Stegodyphus mimosarum (African social velvet spider),True,IPR013649,domain,,632,464,616,CONTINUOUS
A0A087TCK6,Integrin alpha-PS2,819,X975_23909,407821,Stegodyphus mimosarum,Stegodyphus mimosarum (African social velvet spider),True,IPR013649,domain,,819,213,366,CONTINUOUS
A0A087TLZ9,Integrin alpha-PS1,914,X975_00001,407821,Stegodyphus mimosarum,Stegodyphus mimosarum (African social velvet spider),True,IPR013649,domain,,914,326,492,CONTINUOUS
A0A087UCA8,Integrin alpha-9,726,X975_18966,407821,Stegodyphus mimosarum,Stegodyphus mimosarum (African social velvet spider),True,IPR013649,domain,,726,472,628,CONTINUOUS
A0A087V5F0,Integrin alpha-8,696,N312_02447,100784,Balearica regulorum gibbericeps,Balearica regulorum gibbericeps (East African grey crowned-crane),True,IPR013649,domain,,696,201,348,CONTINUOUS
A0A087V8S9,VWFA domain-containing protein,1170,N312_09383,100784,Balearica regulorum gibbericeps,Balearica regulorum gibbericeps (East African grey crowned-crane),True,IPR013649,domain,,1170,645,793,CONTINUOUS
A0A087VGR8,Integrin alpha-V,940,N312_07701,100784,Balearica regulorum gibbericeps,Balearica regulorum gibbericeps (East African grey crowned-crane),True,IPR013649,domain,,940,369,525,CONTINUOUS
A0A087VHV6,Integrin alpha-6,1074,N312_03571,100784,Balearica regulorum gibbericeps,Balearica regulorum gibbericeps (East African grey crowned-crane),True,IPR013649,domain,,1074,446,608,CONTINUOUS
A0A087VJD7,Integrin alpha-4,907,N312_09913,100784,Balearica regulorum gibbericeps,Balearica regulorum gibbericeps (East African grey crowned-crane),True,IPR013649,domain,,907,340,496,CONTINUOUS
A0A087X6N2,"Integrin, alpha V",1046,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1046,463,620,CONTINUOUS
A0A087XCN8,Integrin subunit alpha 8,1054,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1054,475,631,CONTINUOUS
A0A087XE42,VWFA domain-containing protein,1133,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1133,602,729,CONTINUOUS
A0A087XEQ4,Integrin subunit alpha 5,1051,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1051,472,635,CONTINUOUS
A0A087XLQ4,Integrin alpha-11-like,848,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,848,347,486,CONTINUOUS
A0A087XT55,VWFA domain-containing protein,1198,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1198,643,767,CONTINUOUS
A0A087XY46,"Integrin, alpha 6b",1056,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1056,474,634,CONTINUOUS
A0A087XZB6,Integrin subunit alpha 7,1094,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1094,472,633,CONTINUOUS
A0A087Y2Y3,"Integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",1059,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1059,483,643,CONTINUOUS
A0A087Y3P6,Integrin subunit alpha 6,1061,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1061,467,624,CONTINUOUS
A0A087Y5P4,VWFA domain-containing protein,1179,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1179,662,789,CONTINUOUS
A0A087Y7V6,VWFA domain-containing protein,1168,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1168,642,786,CONTINUOUS
A0A087YA19,Integrin subunit alpha 4,1024,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1024,461,619,CONTINUOUS
A0A087YBM0,VWFA domain-containing protein,1183,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1183,642,789,CONTINUOUS
A0A087YCN3,"Integrin, alpha 3b",1058,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1058,457,606,CONTINUOUS
A0A087YGD2,VWFA domain-containing protein,1175,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1175,609,758,CONTINUOUS
A0A087YJ03,Uncharacterized protein,1046,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1046,452,596,CONTINUOUS
A0A087YJD6,"Integrin, alpha 2b",1037,,48698,Poecilia formosa,Poecilia formosa (Amazon molly),True,IPR013649,domain,,1037,472,597,CONTINUOUS
A0A090L522,Integrin alpha-PS2,1109,SRAE_1000307000,34506,Strongyloides ratti,Strongyloides ratti (Parasitic roundworm),True,IPR013649,domain,,1109,428,596,CONTINUOUS
A0A090L6M0,Uncharacterized protein,1092,SRAE_2000007200,34506,Strongyloides ratti,Strongyloides ratti (Parasitic roundworm),True,IPR013649,domain,,1092,493,652,CONTINUOUS
A0A091CTM5,CHHC U11-48K-type domain-containing protein,1253,H920_17346,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,1253,694,848,CONTINUOUS
A0A091CWF1,Integrin alpha-6,1075,H920_16199,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,1075,449,608,CONTINUOUS
A0A091CZA5,Calmodulin-like protein 4,1873,H920_13475,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),False,IPR013649,domain,,1873,928,1053,CONTINUOUS
A0A091D4M0,Integrin alpha-M,372,H920_11559,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,372,63,217,CONTINUOUS
A0A091D4W0,Integrin alpha-IIb,1479,H920_13345,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),False,IPR013649,domain,,1479,545,695,CONTINUOUS
A0A091DA37,Integrin alpha-V,1016,H920_10628,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,1016,435,593,CONTINUOUS
A0A091DCK5,Integrin alpha-4,967,H920_10611,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,967,397,554,CONTINUOUS
A0A091DHC7,Integrin alpha first immunoglubulin-like domain-containing protein,234,H920_08687,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,234,150,228,CONTINUOUS
A0A091DIN8,Integrin alpha-9,574,H920_07678,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,574,56,111,CONTINUOUS
A0A091DIV7,VWFA domain-containing protein,2093,H920_07577,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),False,IPR013649,domain,,2093,642,788,CONTINUOUS
A0A091DP63,Integrin alpha-7,1181,H920_14082,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,1181,515,679,CONTINUOUS
A0A091DW59,Integrin alpha-8,995,H920_02213,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,995,415,571,CONTINUOUS
A0A091DWV7,Integrin alpha-3,1059,H920_03655,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,1059,423,575,CONTINUOUS
A0A091E3U4,Integrin alpha-V,953,N302_09855,85066,Corvus brachyrhynchos,Corvus brachyrhynchos (American crow),False,IPR013649,domain,,953,371,527,CONTINUOUS
A0A091E739,Integrin alpha first immunoglubulin-like domain-containing protein,564,H920_07677,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,564,405,509,CONTINUOUS
A0A091EL58,VWFA domain-containing protein,1150,H920_02294,885580,Fukomys damarensis,Fukomys damarensis (Damaraland mole rat),True,IPR013649,domain,,1150,584,741,CONTINUOUS
A0A091EPT3,Integrin alpha-4,910,N302_06703,85066,Corvus brachyrhynchos,Corvus brachyrhynchos (American crow),True,IPR013649,domain,,910,344,500,CONTINUOUS
A0A091EPZ7,Integrin alpha-6,1080,N302_06761,85066,Corvus brachyrhynchos,Corvus brachyrhynchos (American crow),True,IPR013649,domain,,1080,454,614,CONTINUOUS
A0A091F7D4,Integrin alpha-9,975,N302_07160,85066,Corvus brachyrhynchos,Corvus brachyrhynchos (American crow),True,IPR013649,domain,,975,397,558,CONTINUOUS
A0A091FP24,Integrin alpha-6,1074,N303_07227,55661,Cuculus canorus,Cuculus canorus (Common cuckoo),True,IPR013649,domain,,1074,446,608,CONTINUOUS
A0A091FRT3,Integrin alpha-4,904,N303_07287,55661,Cuculus canorus,Cuculus canorus (Common cuckoo),True,IPR013649,domain,,904,338,494,CONTINUOUS
A0A091FTA6,VWFA domain-containing protein,1173,N303_00857,55661,Cuculus canorus,Cuculus canorus (Common cuckoo),True,IPR013649,domain,,1173,648,796,CONTINUOUS
A0A091FX25,Integrin alpha-8,859,N303_04182,55661,Cuculus canorus,Cuculus canorus (Common cuckoo),True,IPR013649,domain,,859,358,512,CONTINUOUS
A0A091FY79,VWFA domain-containing protein,1168,N302_08911,85066,Corvus brachyrhynchos,Corvus brachyrhynchos (American crow),True,IPR013649,domain,,1168,643,791,CONTINUOUS
A0A091GGX5,Integrin alpha-V,951,N303_01542,55661,Cuculus canorus,Cuculus canorus (Common cuckoo),True,IPR013649,domain,,951,372,528,CONTINUOUS
A0A091GKD0,Integrin alpha-9,975,N303_08935,55661,Cuculus canorus,Cuculus canorus (Common cuckoo),True,IPR013649,domain,,975,397,558,CONTINUOUS
A0A091GP02,Integrin alpha-6,1074,N320_02218,175836,Buceros rhinoceros silvestris,Buceros rhinoceros silvestris,True,IPR013649,domain,,1074,446,608,CONTINUOUS
A0A091GZI1,Integrin alpha-4,515,N320_02330,175836,Buceros rhinoceros silvestris,Buceros rhinoceros silvestris,True,IPR013649,domain,,515,1,105,CONTINUOUS
A0A091H489,VWFA domain-containing protein,1181,N303_01903,55661,Cuculus canorus,Cuculus canorus (Common cuckoo),True,IPR013649,domain,,1181,624,747,CONTINUOUS
A0A091HC63,VWFA domain-containing protein,1131,N320_04539,175836,Buceros rhinoceros silvestris,Buceros rhinoceros silvestris,True,IPR013649,domain,,1131,583,703,CONTINUOUS
A0A091HCC8,VWFA domain-containing protein,1115,N320_00070,175836,Buceros rhinoceros silvestris,Buceros rhinoceros silvestris,True,IPR013649,domain,,1115,643,791,CONTINUOUS
A0A091HGJ3,Integrin alpha-V,945,N320_12684,175836,Buceros rhinoceros silvestris,Buceros rhinoceros silvestris,True,IPR013649,domain,,945,369,525,CONTINUOUS
A0A091HPD8,Integrin alpha-6,1074,N300_04552,9244,Calypte anna,Calypte anna (Anna's hummingbird),True,IPR013649,domain,,1074,446,608,CONTINUOUS
A0A091I2R4,Integrin alpha-V,945,N300_06673,9244,Calypte anna,Calypte anna (Anna's hummingbird),True,IPR013649,domain,,945,369,525,CONTINUOUS
A0A091IE13,VWFA domain-containing protein,1172,N300_05489,9244,Calypte anna,Calypte anna (Anna's hummingbird),True,IPR013649,domain,,1172,647,795,CONTINUOUS
A0A091IF29,Integrin alpha-4,886,N300_08677,9244,Calypte anna,Calypte anna (Anna's hummingbird),True,IPR013649,domain,,886,320,476,CONTINUOUS
A0A091IQC0,Integrin alpha-9,975,Z169_14201,188379,Egretta garzetta,Egretta garzetta (Little egret),True,IPR013649,domain,,975,397,558,CONTINUOUS
A0A091J664,VWFA domain-containing protein,1112,N300_05567,9244,Calypte anna,Calypte anna (Anna's hummingbird),True,IPR013649,domain,,1112,622,747,CONTINUOUS
A0A091J8W8,Integrin alpha-9,975,N300_04788,9244,Calypte anna,Calypte anna (Anna's hummingbird),True,IPR013649,domain,,975,397,558,CONTINUOUS
A0A091J9A2,Integrin alpha-6,1074,Z169_02850,188379,Egretta garzetta,Egretta garzetta (Little egret),True,IPR013649,domain,,1074,446,608,CONTINUOUS
A0A091JE47,VWFA domain-containing protein,1173,Z169_06344,188379,Egretta garzetta,Egretta garzetta (Little egret),True,IPR013649,domain,,1173,619,742,CONTINUOUS
A0A091JJH1,Integrin alpha-V,948,Z169_07106,188379,Egretta garzetta,Egretta garzetta (Little egret),True,IPR013649,domain,,948,369,525,CONTINUOUS
A0A091JMI3,VWFA domain-containing protein,1173,Z169_06009,188379,Egretta garzetta,Egretta garzetta (Little egret),True,IPR013649,domain,,1173,648,796,CONTINUOUS
A0A091KDT9,Integrin alpha-8,910,N324_01437,187382,Chlamydotis macqueenii,Chlamydotis macqueenii (Macqueen's bustard),True,IPR013649,domain,,910,405,557,CONTINUOUS
A0A091KDW7,Integrin alpha-9,796,N324_03288,187382,Chlamydotis macqueenii,Chlamydotis macqueenii (Macqueen's bustard),True,IPR013649,domain,,796,397,558,CONTINUOUS
A0A091L5Q7,VWFA domain-containing protein,977,N324_01760,187382,Chlamydotis macqueenii,Chlamydotis macqueenii (Macqueen's bustard),True,IPR013649,domain,,977,643,791,CONTINUOUS
A0A091L7Y7,Integrin alpha-6,1074,N323_09506,43455,Cathartes aura,Cathartes aura (Turkey vulture),True,IPR013649,domain,,1074,446,608,CONTINUOUS
A0A091L8C1,Integrin alpha-4,923,N323_07175,43455,Cathartes aura,Cathartes aura (Turkey vulture),True,IPR013649,domain,,923,357,513,CONTINUOUS
A0A091LAT7,Integrin alpha-V,905,N323_07618,43455,Cathartes aura,Cathartes aura (Turkey vulture),True,IPR013649,domain,,905,326,482,CONTINUOUS
A0A091LHC4,Integrin alpha-8,864,N323_07799,43455,Cathartes aura,Cathartes aura (Turkey vulture),True,IPR013649,domain,,864,358,510,CONTINUOUS
A0A091LML5,Integrin alpha-8,520,N322_12661,54380,Cariama cristata,Cariama cristata (Red-legged seriema),True,IPR013649,domain,,520,2,104,CONTINUOUS
A0A091LN71,Integrin alpha-4,839,N324_07928,187382,Chlamydotis macqueenii,Chlamydotis macqueenii (Macqueen's bustard),True,IPR013649,domain,,839,341,497,CONTINUOUS
A0A091LRT3,VWFA domain-containing protein,1168,N322_01940,54380,Cariama cristata,Cariama cristata (Red-legged seriema),True,IPR013649,domain,,1168,643,791,CONTINUOUS
A0A091M1F3,Integrin alpha-4,904,N322_12222,54380,Cariama cristata,Cariama cristata (Red-legged seriema),True,IPR013649,domain,,904,338,494,CONTINUOUS
A0A091M3L9,Integrin alpha-11,799,N323_03497,43455,Cathartes aura,Cathartes aura (Turkey vulture),True,IPR013649,domain,,799,337,460,CONTINUOUS
A0A091MJT5,VWFA domain-containing protein,1177,N310_11771,57068,Acanthisitta chloris,Acanthisitta chloris (rifleman),True,IPR013649,domain,,1177,624,749,CONTINUOUS
A0A091MQD6,Integrin alpha-6,1074,N310_13260,57068,Acanthisitta chloris,Acanthisitta chloris (rifleman),True,IPR013649,domain,,1074,446,608,CONTINUOUS
A0A091N018,Integrin alpha-V,797,N310_10060,57068,Acanthisitta chloris,Acanthisitta chloris (rifleman),True,IPR013649,domain,,797,402,556,CONTINUOUS
A0A091NGF8,VWFA domain-containing protein,1168,N310_05117,57068,Acanthisitta chloris,Acanthisitta chloris (rifleman),True,IPR013649,domain,,1168,643,791,CONTINUOUS
A0A091NIE1,Integrin alpha first immunoglubulin-like domain-containing protein,556,N310_01391,57068,Acanthisitta chloris,Acanthisitta chloris (rifleman),True,IPR013649,domain,,556,397,556,CONTINUOUS
A0A091NK65,VWFA domain-containing protein,1177,N311_12319,57397,Apaloderma vittatum,Apaloderma vittatum (Bar-tailed trogon),True,IPR013649,domain,,1177,624,747,CONTINUOUS
A0A091NN26,Integrin alpha-4,668,N311_08228,57397,Apaloderma vittatum,Apaloderma vittatum (Bar-tailed trogon),True,IPR013649,domain,,668,320,476,CONTINUOUS
A0A091PLA8,Integrin alpha-V,563,N330_11342,188344,Leptosomus discolor,Leptosomus discolor (Madagascar cuckoo roller),True,IPR013649,domain,,563,256,412,CONTINUOUS
A0A091Q2K6,VWFA domain-containing protein,1177,N330_06204,188344,Leptosomus discolor,Leptosomus discolor (Madagascar cuckoo roller),True,IPR013649,domain,,1177,624,747,CONTINUOUS
A0A091Q7X2,Integrin alpha-4,923,N330_05750,188344,Leptosomus discolor,Leptosomus discolor (Madagascar cuckoo roller),True,IPR013649,domain,,923,357,513,CONTINUOUS
A0A091Q9X2,Integrin alpha-1,635,N331_11142,57421,Merops nubicus,Merops nubicus (Northern carmine bee-eater),True,IPR013649,domain,,635,301,449,CONTINUOUS
A0A091QK81,Integrin alpha-V,648,N332_05415,54374,Mesitornis unicolor,Mesitornis unicolor (brown roatelo),True,IPR013649,domain,,648,369,525,CONTINUOUS
A0A091QNY8,Integrin alpha-9,629,N331_06671,57421,Merops nubicus,Merops nubicus (Northern carmine bee-eater),True,IPR013649,domain,,629,397,558,CONTINUOUS
A0A091QRU1,Integrin alpha-1,658,N332_07872,54374,Mesitornis unicolor,Mesitornis unicolor (brown roatelo),True,IPR013649,domain,,658,133,281,CONTINUOUS
A0A091R5A2,Integrin alpha-6,1074,N331_12636,57421,Merops nubicus,Merops nubicus (Northern carmine bee-eater),True,IPR013649,domain,,1074,446,607,CONTINUOUS
A0A091R7U4,Integrin alpha-8,525,N331_09205,57421,Merops nubicus,Merops nubicus (Northern carmine bee-eater),True,IPR013649,domain,,525,186,338,CONTINUOUS
A0A091RGA8,Integrin alpha-9,1000,N332_10334,54374,Mesitornis unicolor,Mesitornis unicolor (brown roatelo),True,IPR013649,domain,,1000,422,583,CONTINUOUS
A0A091RJT0,VWFA domain-containing protein,809,N332_10128,54374,Mesitornis unicolor,Mesitornis unicolor (brown roatelo),True,IPR013649,domain,,809,516,639,CONTINUOUS
A0A091RPL9,VWFA domain-containing protein,930,N331_06138,57421,Merops nubicus,Merops nubicus (Northern carmine bee-eater),True,IPR013649,domain,,930,396,516,CONTINUOUS
A0A091RRS6,Integrin alpha-8,905,N333_11016,176057,Nestor notabilis,Nestor notabilis (Kea),True,IPR013649,domain,,905,408,560,CONTINUOUS
A0A091RYI5,VWFA domain-containing protein,1168,N333_01752,176057,Nestor notabilis,Nestor notabilis (Kea),True,IPR013649,domain,,1168,643,791,CONTINUOUS
A0A091S0K6,Integrin alpha-3,848,N333_06425,176057,Nestor notabilis,Nestor notabilis (Kea),True,IPR013649,domain,,848,328,478,CONTINUOUS
A0A091S9G1,Integrin alpha-11,409,N333_07957,176057,Nestor notabilis,Nestor notabilis (Kea),True,IPR013649,domain,,409,114,234,CONTINUOUS
A0A091SJL3,Integrin alpha-6,876,N334_11643,36300,Pelecanus crispus,Pelecanus crispus (Dalmatian pelican),True,IPR013649,domain,,876,248,410,CONTINUOUS
A0A091SLA1,VWFA domain-containing protein,1015,N334_05892,36300,Pelecanus crispus,Pelecanus crispus (Dalmatian pelican),True,IPR013649,domain,,1015,620,743,CONTINUOUS
A0A091TDQ7,VWFA domain-containing protein,1138,N335_02638,97097,Phaethon lepturus,Phaethon lepturus (White-tailed tropicbird),True,IPR013649,domain,,1138,643,791,CONTINUOUS
A0A091TFZ0,Integrin alpha-V,895,N334_05596,36300,Pelecanus crispus,Pelecanus crispus (Dalmatian pelican),True,IPR013649,domain,,895,326,482,CONTINUOUS
A0A091TTN6,Integrin alpha-6,1068,N335_00629,97097,Phaethon lepturus,Phaethon lepturus (White-tailed tropicbird),True,IPR013649,domain,,1068,440,602,CONTINUOUS
A0A091TUY3,Integrin alpha-V,835,N335_14150,97097,Phaethon lepturus,Phaethon lepturus (White-tailed tropicbird),True,IPR013649,domain,,835,256,412,CONTINUOUS
A0A091TZR5,Integrin alpha-4,908,N335_08156,97097,Phaethon lepturus,Phaethon lepturus (White-tailed tropicbird),True,IPR013649,domain,,908,342,498,CONTINUOUS
A0A091TZY7,Integrin alpha-4,903,N334_07453,36300,Pelecanus crispus,Pelecanus crispus (Dalmatian pelican),True,IPR013649,domain,,903,338,494,CONTINUOUS
A0A091U363,Integrin alpha-4,909,N337_06917,9218,Phoenicopterus ruber ruber,Phoenicopterus ruber ruber,True,IPR013649,domain,,909,343,499,CONTINUOUS
A0A091U6A0,VWFA domain-containing protein,711,N337_05955,9218,Phoenicopterus ruber ruber,Phoenicopterus ruber ruber,True,IPR013649,domain,,711,385,509,CONTINUOUS
A0A091U9X9,Integrin alpha-6,1074,N337_07115,9218,Phoenicopterus ruber ruber,Phoenicopterus ruber ruber,True,IPR013649,domain,,1074,446,608,CONTINUOUS
A0A091UDQ2,Integrin alpha-V,941,N337_01578,9218,Phoenicopterus ruber ruber,Phoenicopterus ruber ruber,True,IPR013649,domain,,941,362,518,CONTINUOUS
A0A091UMS6,Integrin alpha-9,975,Y956_08173,128390,Nipponia nippon,Nipponia nippon (Crested ibis),True,IPR013649,domain,,975,397,558,CONTINUOUS
A0A091UV75,Integrin alpha-4,916,Y956_07583,128390,Nipponia nippon,Nipponia nippon (Crested ibis),True,IPR013649,domain,,916,352,508,CONTINUOUS
A0A091UV86,Integrin alpha-6,1075,Y956_02265,128390,Nipponia nippon,Nipponia nippon (Crested ibis),True,IPR013649,domain,,1075,446,608,CONTINUOUS
A0A091V2H4,Integrin alpha-8,917,Y956_12252,128390,Nipponia nippon,Nipponia nippon (Crested ibis),True,IPR013649,domain,,917,410,564,CONTINUOUS
A0A091V2K3,VWFA domain-containing protein,951,Y956_11584,128390,Nipponia nippon,Nipponia nippon (Crested ibis),True,IPR013649,domain,,951,470,612,CONTINUOUS
A0A091V8Y2,Integrin alpha-8,707,N337_03446,9218,Phoenicopterus ruber ruber,Phoenicopterus ruber ruber,True,IPR013649,domain,,707,201,353,CONTINUOUS
A0A091VA84,Integrin alpha-V,948,Y956_13844,128390,Nipponia nippon,Nipponia nippon (Crested ibis),True,IPR013649,domain,,948,369,525,CONTINUOUS
A0A091VA89,Integrin alpha-4,886,N306_07987,30419,Opisthocomus hoazin,Opisthocomus hoazin (Hoatzin),True,IPR013649,domain,,886,320,476,CONTINUOUS
A0A091VJ63,VWFA domain-containing protein,1175,Y956_09650,128390,Nipponia nippon,Nipponia nippon (Crested ibis),True,IPR013649,domain,,1175,624,747,CONTINUOUS
