A0A0H2UQ73,Niacin transporter NiaX,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),Brak InterPro kodów dla tego białka.,imex:IM-18537|psi-mi:"MI:0946"|pubmed:23267104
O43169,Cytochrome b5 type B,Homo sapiens,IPR001199|IPR036400|IPR018506|IPR050668,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60506,Heterogeneous nuclear ribonucleoprotein Q,Homo sapiens,IPR041337|IPR006535|IPR034544|IPR034548|IPR012677|IPR035979|IPR000504,imex:IM-24272|pubmed:26496610
O60573,Eukaryotic translation initiation factor 4E type 2,Homo sapiens,IPR023398|IPR001040|IPR019770,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60911,Cathepsin L2,Homo sapiens,IPR038765|IPR025661|IPR000169|IPR025660|IPR013128|IPR000668|IPR039417|IPR013201,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60939,Sodium channel regulatory subunit beta-2,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR003599|IPR013106|IPR000920,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O69289,Chaperonin GroEL,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR018370|IPR001844|IPR002423|IPR027409|IPR027413|IPR027410,pubmed:17615063
O69297,Protein GrpE,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR000740|IPR013805|IPR009012,pubmed:17615063
O75380,NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial,Homo sapiens,IPR016668|IPR019401,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O75409,Huntingtin-interacting protein M,Homo sapiens,IPR009072,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75439,Mitochondrial-processing peptidase subunit beta,Homo sapiens,IPR011249|IPR050361|IPR011765|IPR001431|IPR007863,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O75496,Geminin,Homo sapiens,IPR022786,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O75533,Splicing factor 3B subunit 1,Homo sapiens,IPR011989|IPR016024|IPR054573|IPR015016|IPR038737,imex:IM-30298|pubmed:31474574
O75569,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,Homo sapiens,IPR014720|IPR044465|IPR044466|IPR044467|IPR051247,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75596,C-type lectin domain family 3 member A,Homo sapiens,IPR001304|IPR016186|IPR018378|IPR051663|IPR016187,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O75629,Protein CREG1,Homo sapiens,IPR014631|IPR055343|IPR012349,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75940,Survival of motor neuron-related-splicing factor 30,Homo sapiens,IPR010304|IPR002999,pubmed:17353931
O83133,TPR repeat-containing protein TP_0095,Treponema pallidum (strain DSM 117211 / Nichols),IPR011990|IPR019734,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83312,Brak nazwy,Treponema pallidum (strain DSM 117211 / Nichols),IPR003329|IPR029044,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83403,Brak nazwy,Treponema pallidum (strain DSM 117211 / Nichols),IPR026579|IPR034746|IPR013685,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83532,Brak nazwy,Treponema pallidum (strain DSM 117211 / Nichols),IPR003593|IPR058031|IPR011006|IPR009057|IPR002197|IPR027417|IPR001789|IPR002078|IPR025662|IPR025943|IPR025944,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83570,Probable tRNA sulfurtransferase,Treponema pallidum (strain DSM 117211 / Nichols),IPR014729|IPR020536|IPR054173|IPR049961|IPR004114|IPR049962|IPR003720|IPR050102,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83667,Uncharacterized protein TP_0661,Treponema pallidum (strain DSM 117211 / Nichols),Brak InterPro kodów dla tego białka.,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83745,HD-GYP domain-containing protein,Treponema pallidum (strain DSM 117211 / Nichols),IPR003607|IPR037522,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83767,Uncharacterized protein TP_0788,Treponema pallidum (strain DSM 117211 / Nichols),Brak InterPro kodów dla tego białka.,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83927,Brak nazwy,Treponema pallidum (strain DSM 117211 / Nichols),IPR001444|IPR020013|IPR010930|IPR037925|IPR012836|IPR053967,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83954,Brak nazwy,Treponema pallidum (strain DSM 117211 / Nichols),IPR032640|IPR013783|IPR014756,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83970,DNA polymerase III subunit gamma/tau,Treponema pallidum (strain DSM 117211 / Nichols),IPR003593|IPR001270|IPR008921|IPR022754|IPR012763|IPR050238|IPR045085|IPR027417,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O85213,Chaperone protein DnaJ,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR012724|IPR002939|IPR001623|IPR018253|IPR008971|IPR001305|IPR036410|IPR036869,pubmed:17615063
O94817,Ubiquitin-like protein ATG12,Homo sapiens,IPR007242|IPR029071,pubmed:17353931
O94925-3,Isoform 3 of Glutaminase kidney isoform, mitochondrial,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O94929,Actin-binding LIM protein 3,Homo sapiens,IPR032402|IPR051618|IPR003128|IPR036886|IPR001781,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95159,Zinc finger protein-like 1,Homo sapiens,IPR058730|IPR039043|IPR058731|IPR013083,imex:IM-25472|pubmed:32296183
O95196,Chondroitin sulfate proteoglycan 5,Homo sapiens,IPR010555|IPR009505,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95218,Zinc finger Ran-binding domain-containing protein 2,Homo sapiens,IPR001876|IPR036443|IPR017337,imex:IM-30059|pubmed:39251607
O95260,Arginyl-tRNA--protein transferase 1,Homo sapiens,IPR016181|IPR017137|IPR030700|IPR007472|IPR007471,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O95274,Ly6/PLAUR domain-containing protein 3,Homo sapiens,IPR016054|IPR045860,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O95406,Protein cornichon homolog 1,Homo sapiens,IPR003377|IPR033466,imex:IM-25472|pubmed:32296183
O95487-2,Isoform 2 of Protein transport protein Sec24B,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P00954,Tryptophan--tRNA ligase,Escherichia coli (strain K12),IPR001412|IPR002305|IPR014729|IPR002306|IPR024109|IPR050203,pubmed:16606699
P01011,Alpha-1-antichymotrypsin,Homo sapiens,IPR023795|IPR023796|IPR000215|IPR036186|IPR042178|IPR042185,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01100,Protein c-Fos,Homo sapiens,IPR000837|IPR004827|IPR046347,imex:IM-30532|pubmed:38884001
P01111,GTPase NRas,Homo sapiens,IPR027417|IPR005225|IPR001806|IPR020849,imex:IM-30494|pubmed:35839996
P01112,GTPase HRas,Homo sapiens,IPR027417|IPR005225|IPR001806|IPR020849,imex:IM-30494|pubmed:35839996
P01116-1,Isoform 2A of GTPase KRas,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-30494|pubmed:35839996
P01116-2,Isoform 2B of GTPase KRas,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-30494|pubmed:35839996
P01375,Tumor necrosis factor,Homo sapiens,IPR006053|IPR002959|IPR021184|IPR006052|IPR008983,imex:IM-25472|pubmed:32296183
P02293,Histone H2B.1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR007125|IPR009072|IPR000558|IPR055333,imex:IM-14085|pubmed:21179020
P02309,Histone H4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR035425|IPR009072|IPR001951|IPR019809,imex:IM-14085|pubmed:21179020
P02358,Small ribosomal subunit protein bS6,Escherichia coli (strain K12),IPR000529|IPR020815|IPR035980|IPR020814|IPR014717,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P02359,Small ribosomal subunit protein uS7,Escherichia coli (strain K12),IPR000235|IPR005717|IPR020606|IPR023798|IPR036823,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043|pubmed:16606699
P02724,Glycophorin-A,Homo sapiens,IPR001195|IPR018938|IPR049535,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02751,Fibronectin,Homo sapiens,IPR050991|IPR000083|IPR003961|IPR036116|IPR000562|IPR036943|IPR013783|IPR013806,imex:IM-14135|pubmed:19738201
P02808,Statherin,Homo sapiens,IPR030773|IPR005575,imex:IM-25472|pubmed:32296183
P03007,DNA polymerase III subunit epsilon,Escherichia coli (strain K12),IPR006054|IPR006309|IPR013520|IPR012337|IPR036397,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P03372,Estrogen receptor,Homo sapiens,IPR024178|IPR001292|IPR046944|IPR035500|IPR000536|IPR050200|IPR001723|IPR024736|IPR001628|IPR013088,imex:IM-26954|pubmed:31527615
P04798,Cytochrome P450 1A1,Homo sapiens,IPR001128|IPR017972|IPR002401|IPR008066|IPR036396,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P04846,Lipoprotein 28,Escherichia coli (strain K12),IPR004872,imex:IM-22059|pubmed:24561554
P05020,Dihydroorotase,Escherichia coli (strain K12),IPR006680|IPR004721|IPR002195|IPR032466,imex:IM-22059|pubmed:24561554
P05090,Apolipoprotein D,Homo sapiens,IPR026222|IPR002969|IPR012674|IPR022271|IPR022272|IPR000566,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P05388,Large ribosomal subunit protein uL10,Homo sapiens,IPR050323|IPR001790|IPR040637|IPR043164|IPR043141|IPR030670,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P06710,DNA polymerase III subunit tau,Escherichia coli (strain K12),IPR003593|IPR001270|IPR008921|IPR022001|IPR022754|IPR012763|IPR021029|IPR050238|IPR045085|IPR027417|IPR038249,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P06748,Nucleophosmin,Homo sapiens,IPR032569|IPR004301|IPR024057|IPR036824,imex:IM-24272|imex:IM-30059|pubmed:26496610|pubmed:39251607
P07149,Fatty acid synthase subunit beta,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR001227|IPR014043|IPR016035|IPR013785|IPR039569|IPR016452|IPR013565|IPR041099|IPR040883|IPR003965|IPR050830|IPR029069|IPR002539|IPR032088,pubmed:16429126
P07203,Glutathione peroxidase 1,Homo sapiens,IPR000889|IPR029759|IPR029760|IPR036249,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P07910,Heterogeneous nuclear ribonucleoproteins C1/C2,Homo sapiens,IPR017347|IPR012677|IPR035979|IPR000504|IPR051186,imex:IM-30059|pubmed:39251607
P08247,Synaptophysin,Homo sapiens,IPR008253|IPR001285,imex:IM-25472|pubmed:32296183
P08621,U1 small nuclear ribonucleoprotein 70 kDa,Homo sapiens,IPR012677|IPR035979|IPR000504|IPR034143|IPR051183|IPR022023,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P09450,Transcription factor JunB,Mus musculus,IPR050946|IPR004827|IPR046347|IPR005643|IPR002112|IPR008917,imex:IM-24272|pubmed:26496610
P09668,Pro-cathepsin H,Homo sapiens,IPR038765|IPR025661|IPR000169|IPR025660|IPR013128|IPR000668|IPR039417|IPR013201,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0A6F5,Chaperonin GroEL,Escherichia coli (strain K12),IPR018370|IPR001844|IPR002423|IPR027409|IPR027413|IPR027410,pubmed:16606699
P0A6G7,ATP-dependent Clp protease proteolytic subunit,Escherichia coli (strain K12),IPR001907|IPR029045|IPR023562|IPR033135|IPR018215,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A6K3,Peptide deformylase,Escherichia coli (strain K12),IPR023635|IPR036821,imex:IM-22059|pubmed:24561554
P0A6W5,Transcription elongation factor GreA,Escherichia coli (strain K12),IPR036953|IPR018151|IPR006359|IPR028624|IPR001437|IPR023459|IPR022691|IPR036805,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A6X3,RNA-binding protein Hfq,Escherichia coli (strain K12),IPR005001|IPR010920|IPR047575,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A6X7,Integration host factor subunit alpha,Escherichia coli (strain K12),IPR000119|IPR020816|IPR010992|IPR005684,pubmed:16606699
P0A707,Translation initiation factor IF-3,Escherichia coli (strain K12),IPR036788|IPR036787|IPR019813|IPR001288|IPR019815|IPR019814,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A715,2-dehydro-3-deoxyphosphooctonate aldolase,Escherichia coli (strain K12),IPR013785|IPR006218|IPR006269,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A717,Ribose-phosphate pyrophosphokinase,Escherichia coli (strain K12),IPR000842|IPR029099|IPR029057|IPR000836|IPR005946|IPR037515,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A776,RNA pyrophosphohydrolase,Escherichia coli (strain K12),IPR020476|IPR015797|IPR020084|IPR000086|IPR022927,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7E9,Uridylate kinase,Escherichia coli (strain K12),IPR036393|IPR001048|IPR011817|IPR015963,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7K6,Large ribosomal subunit protein bL19,Escherichia coli (strain K12),IPR001857|IPR018257|IPR038657|IPR008991,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7L0,Large ribosomal subunit protein uL1,Escherichia coli (strain K12),IPR005878|IPR002143|IPR023674|IPR028364|IPR016095|IPR023673,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043|pubmed:16606699
P0A7L3,Large ribosomal subunit protein bL20,Escherichia coli (strain K12),IPR005813|IPR049946|IPR035566,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7M2,Large ribosomal subunit protein bL28,Escherichia coli (strain K12),IPR026569|IPR034704|IPR001383|IPR037147,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7N9,Large ribosomal subunit protein bL33,Escherichia coli (strain K12),IPR001705|IPR018264|IPR038584|IPR011332,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7R1,Large ribosomal subunit protein bL9,Escherichia coli (strain K12),IPR000244|IPR009027|IPR020594|IPR020069|IPR036791|IPR020070|IPR036935,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7R5,Small ribosomal subunit protein uS10,Escherichia coli (strain K12),IPR001848|IPR018268|IPR027486|IPR036838,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7R9,Small ribosomal subunit protein uS11,Escherichia coli (strain K12),IPR001971|IPR019981|IPR018102|IPR036967,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7S3,Small ribosomal subunit protein uS12,Escherichia coli (strain K12),IPR012340|IPR006032|IPR005679,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7S9,Small ribosomal subunit protein uS13,Escherichia coli (strain K12),IPR027437|IPR001892|IPR010979|IPR019980|IPR018269,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7T3,Small ribosomal subunit protein bS16,Escherichia coli (strain K12),IPR000307|IPR020592|IPR023803,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7T7,Small ribosomal subunit protein bS18,Escherichia coli (strain K12),IPR001648|IPR018275|IPR036870,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7U3,Small ribosomal subunit protein uS19,Escherichia coli (strain K12),IPR002222|IPR005732|IPR020934|IPR023575,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7U7,Small ribosomal subunit protein bS20,Escherichia coli (strain K12),IPR002583|IPR036510,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7V0,Small ribosomal subunit protein uS2,Escherichia coli (strain K12),IPR001865|IPR005706|IPR018130|IPR023591,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7V3,Small ribosomal subunit protein uS3,Escherichia coli (strain K12),IPR004087|IPR015946|IPR004044|IPR009019|IPR036419|IPR057258|IPR005704|IPR001351|IPR018280,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7V8,Small ribosomal subunit protein uS4,Escherichia coli (strain K12),IPR022801|IPR005709|IPR018079|IPR001912|IPR002942|IPR036986,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043|pubmed:16606699
P0A7W1,Small ribosomal subunit protein uS5,Escherichia coli (strain K12),IPR020568|IPR000851|IPR005712|IPR005324|IPR013810|IPR018192|IPR014721,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A7W7,Small ribosomal subunit protein uS8,Escherichia coli (strain K12),IPR000630|IPR047863|IPR035987,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043|pubmed:16606699
P0A7X3,Small ribosomal subunit protein uS9,Escherichia coli (strain K12),IPR020568|IPR000754|IPR023035|IPR020574|IPR014721,pubmed:16606699
P0A7Y8,Ribonuclease P protein component,Escherichia coli (strain K12),IPR020568|IPR014721|IPR000100|IPR020539,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A832,SsrA-binding protein,Escherichia coli (strain K12),IPR023620|IPR000037|IPR020081,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043|pubmed:16606699
P0A847,Queuine tRNA-ribosyltransferase,Escherichia coli (strain K12),IPR050076|IPR004803|IPR036511|IPR002616,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A850,Trigger factor,Escherichia coli (strain K12),IPR046357|IPR001179|IPR005215|IPR008880|IPR037041|IPR008881|IPR036611|IPR027304,imex:IM-12086|pubmed:19737520
P0A8G0,UvrABC system protein C,Escherichia coli (strain K12),IPR000305|IPR035901|IPR047296|IPR060101|IPR003583|IPR010994|IPR001943|IPR036876|IPR050066|IPR004791|IPR001162|IPR038476,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A8I5,tRNA (guanine-N(7)-)-methyltransferase,Escherichia coli (strain K12),IPR029063|IPR003358|IPR055361,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A8W5,UPF0301 protein YqgE,Escherichia coli (strain K12),IPR003774,pubmed:16606699
P0A968,Cold shock-like protein CspD,Escherichia coli (strain K12),IPR012156|IPR050181|IPR011129|IPR019844|IPR002059|IPR012751|IPR012340,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A986,Cold shock-like protein CspI,Escherichia coli (strain K12),IPR012156|IPR050181|IPR011129|IPR019844|IPR002059|IPR012340,pubmed:16606699
P0A9K3,PhoH-like protein,Escherichia coli (strain K12),IPR027417|IPR003714|IPR051451,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A9K9,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,Escherichia coli (strain K12),IPR046357|IPR001179|IPR048261,pubmed:16606699
P0A9P6,ATP-dependent RNA helicase DeaD,Escherichia coli (strain K12),IPR021046|IPR034415|IPR005580|IPR011545|IPR044742|IPR050547|IPR057325|IPR028618|IPR014001|IPR001650|IPR012677|IPR027417|IPR000629|IPR014014,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0A9Y6,Cold shock-like protein CspC,Escherichia coli (strain K12),IPR012156|IPR050181|IPR011129|IPR019844|IPR002059|IPR012340,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0AA10,Large ribosomal subunit protein uL13,Escherichia coli (strain K12),IPR005822|IPR005823|IPR023563|IPR036899,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
