#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR003929 AND Category=AF4;
5_2	AF4	A0A1D1VP35-F1	Water bear	74.7	Maxi K channel	IPR003929,IPR013099,IPR036291	RvY_11161 RvY_11161.1 RvY_11161-1
3_1	AF4	A0A6J2D6E8-F1	California sealion	84.0	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J0DTX3-F1	Prairie deer mouse	84.0	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	E3VS04-F1	Mouse	84.0	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	O18866-F1	Pig	84.0	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (S...	IPR003929,IPR005821,IPR036291	KCNMA1 KCNMA
3_1	AF4	A0A7J7TTI4-F1	Greater mouse-eared bat	84.0	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	mMyoMyo1_007185
3_1	AF4	A0A3Q7SYM7-F1	Red fox	84.0	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A1U7R160-F1	Golden hamster	84.0	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	A0A6P3GSG5-F1	Bison bison	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A1W2PQK5-F1	Human	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	U3EK96-F1	White-tufted-ear marmoset	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A7J8G9G9-F1	Egyptian rousette	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	HJG63_007120
3_1	AF4	A0A2Y9FYY0-F1	Florida manatee	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC101341595
3_1	AF4	A0A1Y1VR65-F1	Basidiobolus meristosporus CBS 931	83.9	Ion_trans_2 domain-containing protein	IPR003929,IPR013099	K493DRAFT_322074
3_1	AF4	A0A6J1ZL21-F1	Cheetah	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2J8NTX2-F1	Chimpanzee	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	CK820_G0007780
3_1	AF4	A0A2J8U591-F1	Sumatran orangutan	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	CR201_G0030157
3_1	AF4	A0A2J8NTZ1-F1	Chimpanzee	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	CK820_G0007780
3_1	AF4	A0A1W2PNQ3-F1	Human	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J2D739-F1	California sealion	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A7J8G907-F1	Egyptian rousette	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	HJG63_007120
3_1	AF4	A0A2J8NU33-F1	Chimpanzee	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	CK820_G0007780
3_1	AF4	A0A2Y9HUW4-F1	Hawaiian monk seal	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2J8NTZ8-F1	Chimpanzee	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	CK820_G0007780
3_1	AF4	A0A1W2PSD3-F1	Human	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A1S3STP4-F1	Atlantic salmon	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC106611671
3_1	AF4	A0A6J1ZLD1-F1	Cheetah	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A3Q7MH90-F1	Northern fur seal	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC112807541 LOC112807631
3_1	AF4	A0A2U3ZIP0-F1	Pacific walrus	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	E3VS01-F1	Mouse	83.9	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	A0A6P5R266-F1	Ryukyu mouse	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	O18867-F1	Rhesus macaque	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (S...	IPR003929,IPR005821,IPR036291	KCNMA1 KCNMA
3_1	AF4	U3FJL7-F1	White-tufted-ear marmoset	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A7J7UWY0-F1	Greater horseshoe bat	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	mRhiFer1_007212
3_1	AF4	A0A663DB61-F1	Chimpanzee	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	CK820_G0007780
3_1	AF4	A0A6I9J4V5-F1	Cape golden mole	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A383YUQ6-F1	North Pacific minke whale	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2K5ZF85-F1	Drill	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A0A7EUT1-F1	Sheep	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J1ZLB5-F1	Cheetah	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J0DTY1-F1	Prairie deer mouse	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	A0A7J7UX47-F1	Greater horseshoe bat	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	mRhiFer1_007212
3_1	AF4	A0A2Y9JAJ8-F1	Enhydra lutris	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC111144685
3_1	AF4	A0A6I9J5J1-F1	Cape golden mole	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J0E0N4-F1	Prairie deer mouse	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	A0A6J2D843-F1	California sealion	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A341AZQ1-F1	Yangtze finless porpoise	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A803VZW5-F1	Collared flycatcher	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6P3EUR7-F1	Degu	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	A0A1S3AQY6-F1	Western European hedgehog	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6P3H022-F1	Bison bison	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A834ABF9-F1	pale spear-nosed bat	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	HJG60_007124
3_1	AF4	A0A2Y9G1G9-F1	Florida manatee	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC101341595
3_1	AF4	E3VRZ4-F1	Mouse	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	A0A2U3W5K8-F1	Pacific walrus	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2J8U546-F1	Sumatran orangutan	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	CR201_G0030157
3_1	AF4	A0A4W2BTL0-F1	Hybrid cattle	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A3Q7MH82-F1	Northern fur seal	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC112807541 LOC112807631
3_1	AF4	A0A6J0YI17-F1	Odocoileus virginianus	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	Q9BG98-F1	Rabbit	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (S...	IPR003929,IPR005821,IPR036291	KCNMA1 KCNMA
3_1	AF4	A0A6I9J4V1-F1	Cape golden mole	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A7J7UWZ9-F1	Greater horseshoe bat	83.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	mRhiFer1_007212
3_1	AF4	A0A6P4VYD0-F1	Leopard	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2Y9DYY2-F1	Florida manatee	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC101341595
3_1	AF4	A0A1S3ARU6-F1	Western European hedgehog	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J1ZLC1-F1	Cheetah	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A383YUQ9-F1	North Pacific minke whale	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A5F5XVD6-F1	Cat	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A7J8G9T1-F1	Egyptian rousette	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	HJG63_007120
3_1	AF4	A0A2I3TFJ3-F1	Chimpanzee	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A455AML1-F1	Sperm whale	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J1ZNG4-F1	Cheetah	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2Y9JAJ0-F1	Enhydra lutris	83.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC111144685
