#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR036901;IPR006131 AND Category=AF4;
4_1	AF4	A0A7J6WXD7-F1	Rue-anemone	77.7	Aspartate carbamoyltransferase (EC 2.1.3.2)	IPR002082,IPR006130,IPR006131,IPR006132,IPR036901	FRX31_008300
3_1	AF4	A0A7W3FIY5-F1	Stenotrophomonas tumulicola	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' H4O11_01135
3_1	AF4	A0A7W9E8K2-F1	Xanthomonas arboricola	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FHR65_000674
3_1	AF4	A0A4Q8LZ89-F1	Pseudoxanthomonas winnipegensis	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' EA656_04030
3_1	AF4	D4T6H1-F1	Xanthomonas citri pv	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XAUC_19210
3_1	AF4	A0A0M0NVT6-F1	Pseudomonas maltophilia	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ARC23_04595 FEO90_13860
3_1	AF4	A0A0A0EYP9-F1	Lysobacter arseniciresistens	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' N799_07190
3_1	AF4	A0A149QNB0-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' AB839_01535
3_1	AF4	A0A1H3P784-F1	Lysobacter sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' SAMN04487939_110105
3_1	AF4	A0A840J660-F1	Xanthomonas axonopodis	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FHY32_000794
3_1	AF4	A0A518N6E4-F1	Luteimonas granuli	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FPZ22_11925
3_1	AF4	A0A1G4AIY1-F1	Xanthomonadales bacterium	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' A2213_13420
3_1	AF4	A0A7H1AQ66-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ICJ04_06485
3_1	AF4	A0A246HJI9-F1	Pseudomonas maltophilia	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' CEE60_15985
3_1	AF4	A0A1V3DBM4-F1	Pseudomonas maltophilia	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' BWP19_01870
3_1	AF4	A0A383T794-F1	Xanthomonas arboricola pv. juglandis	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XSP_002463 XSP_002486
3_1	AF4	A0A0D0R4S9-F1	Lysobacter sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' TI01_1716
3_1	AF4	Q3BSI1-F1	strain 85-10	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF argF' XCV2551
3_1	AF4	A0A0H1AM71-F1	Luteimonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' WQ56_11610
3_1	AF4	A0A2S6ZA09-F1	Xanthomonas arboricola pv	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XaplCFBP3122_01640
3_1	AF4	A0A5N0KPL3-F1	Stenotrophomonas cyclobalanopsidis	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FJU31_16975
3_1	AF4	A0A1G3FRE7-F1	Rhodanobacter sp	98.8	Acetylornithine carbamoyltransferase	IPR006130,IPR006131,IPR036901	A2211_14735
3_1	AF4	A0A371K276-F1	Lysobacter silvisoli	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' DX914_02450
3_1	AF4	A0A507ZZY8-F1	Lysobacter aestuarii	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FKV25_10945
3_1	AF4	A0A108U4D1-F1	Lysobacter capsici	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' AZ78_4994
3_1	AF4	A0A5C7XF02-F1	Lysobacter sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' E6Q50_12650
3_1	AF4	A0A7W6L1X7-F1	Xanthomonas campestris	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' GGR62_002405
3_1	AF4	A0A239Q4H5-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' SAMN02744786_1060
3_1	AF4	A0A7W9JZB0-F1	Xanthomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' GGR66_002756
3_1	AF4	A0A3C0X4M3-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' DCP40_00400
3_1	AF4	A0A3S5GHV3-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' C1924_13000
3_1	AF4	T5KK88-F1	Stenotrophomonas maltophilia	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' L681_16170
3_1	AF4	A0A349Y354-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' DCW96_03465
3_1	AF4	A0A4Q6GRH2-F1	Xanthomonadaceae bacterium	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' EOP92_22440
3_1	AF4	A0A0M0P268-F1	Pseudomonas maltophilia	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' VL23_00890
3_1	AF4	A0A246L1C1-F1	Stenotrophomonas pavanii	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' CEE55_05595
3_1	AF4	A0A5C8L0Y6-F1	Lysobacter sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FU658_01540
3_1	AF4	A0A0B2C4D8-F1	Xanthomonas cannabis pv	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' OZ10_16475
3_1	AF4	A0A3N1KHV7-F1	Stenotrophomonas rhizophila	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' EDF74_2909 F9K92_10445
3_1	AF4	A0A0A8E1C2-F1	Xanthomonas sacchari	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' SB85_18590
3_1	AF4	B8L9B2-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' SSKA14_2218
3_1	AF4	A0A1H3A7C6-F1	Lysobacter enzymogenes	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' SAMN05421681_104376
3_1	AF4	A0A0A2WE76-F1	Lysobacter dokdonensis	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' LF41_536
3_1	AF4	A0A2L0SKU4-F1	Stenotrophomonas acidaminiphila	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' B1L07_07030
3_1	AF4	A0A7T8S1W0-F1	Lysobacter enzymogenes	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' JHW41_15955
3_1	AF4	A0A023Y1T9-F1	Stenotrophomonas rhizophila	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' DX03_06935 SrhCFBP13529_08335
3_1	AF4	A0A0G8LIE3-F1	Xanthomonas hortorum pv	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' CFBP8129_24110
3_1	AF4	A0A0P6VAY9-F1	Xanthomonas axonopodis	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XAXN_16955
3_1	AF4	A0A1H7TZ84-F1	Pseudoxanthomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' SAMN05428989_2835
3_1	AF4	A0A498CEX4-F1	Stenotrophomonas rhizophila	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' BCL79_1021
3_1	AF4	Q8PK25-F1	strain 306	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XAC2352
