#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR018883 AND Category=AF4;
3_1#3_1	AF4	A0A812L574-F1	Symbiodinium natans	79.5	Hypothetical protein	IPR018883	SNAT2548_LOCUS10976
3_1	AF4	A0A1E5ERD9-F1	Vibrio tasmaniensis	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	A152_19645
3_1	AF4	A0A073J1D9-F1	Pseudosulfitobacter pseudonitzschiae	97.2	Secreted protein	IPR018883,IPR036398	SUH3_13690
3_1	AF4	A0A1Y5DF06-F1	Marinomonas sp	97.2	Signal peptide protein	IPR018883,IPR036398	A9Q77_09025
3_1	AF4	A0A4Q0YV57-F1	Veronia nyctiphanis	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	CS022_13435
3_1	AF4	A0A7W4C5U8-F1	Shewanella sp	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	H5202_18845
3_1	AF4	A0A7D4P6J2-F1	Thiomicrorhabdus xiamenensis	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	HQN79_11980
3_1	AF4	A0A1G7P8L1-F1	Halomonas taeanensis	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	SAMN05216571_102179
3_1	AF4	A0A545TRT5-F1	Denitrobaculum tricleocarpae	97.2	CHRD domain-containing protein	IPR018883,IPR036398	FKG95_14715
3_1	AF4	A0A4U0ZVH1-F1	Desulforhopalus sp	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	FCL48_13910
3_1	AF4	A0A1Y0D296-F1	Oceanisphaera profunda	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	CBP31_00785
3_1	AF4	A0A7W2Y1N9-F1	Colwellia sp	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	H4J48_03430
3_1	AF4	A3UN97-F1	strain 12B01	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	V12B01_13205
3_1	AF4	A0A2E3U4T8-F1	Gammaproteobacteria bacterium	97.1	CHRD domain-containing protein	IPR018883	CMQ34_03780
3_1	AF4	A0A2N7F6H0-F1	Vibrio splendidus	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCU17_08685
3_1	AF4	A4BHH6-F1	Reinekea blandensis	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	MED297_16579
3_1	AF4	A0A0T7DFP0-F1	Vibrio coralliirubri	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	VCR4J2_550023
3_1	AF4	F9RGF7-F1	strain N418	97.1	Fungalysin	IPR018883	VIBRN418_16938
3_1	AF4	A0A1Y5H5E0-F1	Thalassotalea sp	97.1	Secreted protein	IPR018883,IPR036398	A9Q98_01555
3_1	AF4	A0A3B0YB04-F1	hydrothermal vent	97.1	Cadmium carbonic anhydrase	IPR018883	MNBD_GAMMA14-868
3_1	AF4	A0A2T5EDM9-F1	Vibrio splendidus	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	A6D94_01015 CWO36_17160
3_1	AF4	A0A5E5Q241-F1	uncultured Gammaproteobacteria	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	BAZOLSSOX_3016
3_1	AF4	A0A2N7GA23-F1	Vibrio sp	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCU12_09385
3_1	AF4	A0A5R9Q002-F1	Pseudoalteromonas phenolica	97.1	Cadmium carbonic anhydrase	IPR018883	C1E24_14055
3_1	AF4	A0A2K8KPA8-F1	Reinekea forsetii	97.1	Secreted protein	IPR018883,IPR036398	REIFOR_00721
3_1	AF4	A0A2A4W7I0-F1	Gammaproteobacteria bacterium	97.1	Secreted protein	IPR018883,IPR036398	COB38_10795
3_1	AF4	A0A7W2SLE1-F1	Colwellia sp	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	H4J44_17010
3_1	AF4	A0A2D5T2C5-F1	Pseudoalteromonas sp	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	CMK64_08970
3_1	AF4	A0A511QDL3-F1	Vibrio sagamiensis	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	VSA01S_15020
3_1	AF4	F7ZH69-F1	Roseobacter litoralis 	97.1	Secreted protein	IPR018883,IPR036398	RLO149_c029550
3_1	AF4	A0A1H6F9G6-F1	Thiotrichales bacterium	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	MBHS_01886
3_1	AF4	A0A855IKR7-F1	Vibrio lentus	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCT50_12325
3_1	AF4	A0A4U2F7F4-F1	Vibrio lentus	97.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	FCV91_06855
3_1	AF4	B1KH45-F1	Shewanella woodyi 	97.1	Signal peptide protein	IPR018883,IPR036398	Swoo_4101
3_1	AF4	A0A1E5B7K8-F1	Vibrio splendidus	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	A143_04035
3_1	AF4	A0A2N7LMP8-F1	Vibrio splendidus	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCT19_06380
3_1	AF4	A0A2G6DBP5-F1	Proteobacteria bacterium	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	CSB47_01735
3_1	AF4	A0A6B2R138-F1	Orrella amnicola	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	G3I67_14775
3_1	AF4	A0A7W2RIQ4-F1	Colwellia sp	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	H4J61_05340
3_1	AF4	A0A6G8D3H9-F1	Vibrio sp	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	G7083_06970
3_1	AF4	A0A3M2C7G2-F1	Gammaproteobacteria bacterium	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	D6698_04200
3_1	AF4	A0A1B9QPV8-F1	Vibrio lentus	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	A6E08_12095
3_1	AF4	A0A5S3SJH2-F1	Pseudoalteromonas sp	97.0	Lipoprotein	IPR018883,IPR036398	CWB66_04280
3_1	AF4	A0A1Y2K408-F1	Magnetofaba australis	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	MAIT1_02512
3_1	AF4	A0A2A5CRT6-F1	Gammaproteobacteria bacterium	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	COA74_13525
3_1	AF4	A0A1J5IV66-F1	Zetaproteobacteria bacterium	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	AUK35_00745
3_1	AF4	A0A833AJB1-F1	Pseudoalteromonas fuliginea	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	EU509_05175
3_1	AF4	C5BPF1-F1	Teredinibacter turnerae 	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	TERTU_0762
3_1	AF4	A0A3M1ILX2-F1	Alphaproteobacteria bacterium	97.0	Secreted protein	IPR018883,IPR036398	D6773_18870
3_1	AF4	A0A0M3B8C0-F1	Rhizobium sp	97.0	Cadmium carbonic anhydrase	IPR018883	YH62_23290
3_1	AF4	A0A7H1J9P6-F1	Marinomonas arctica	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	IBG28_06155
3_1	AF4	A0A7W2ND21-F1	Colwellia sp	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	H4J65_01765
3_1	AF4	A0A2D9DRY6-F1	Pseudohongiella sp	97.0	CHRD domain-containing protein	IPR018883	CMK70_05590
3_1	AF4	A0A2S3V3W1-F1	Roseibium marinum	97.0	Secreted protein	IPR018883,IPR036398	CLV41_1011036
3_1	AF4	G7EG42-F1	Pseudoalteromonas sp	97.0	Superoxide dismutase	IPR018883,IPR036398	P20652_1729
3_1	AF4	A0A3L7DTB9-F1	Vibrio sp	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	AYK60_05495
3_1	AF4	A0A6S6SJ22-F1	uncultured Campylobacterales	97.0	Lipoprotein	IPR018883,IPR036398	HELGO_WM2660
3_1	AF4	A0A7W2S6M9-F1	Colwellia sp	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	H4J47_16225
3_1	AF4	A0A553JV98-F1	Alteromonas hanedai	97.0	Superoxide dismutase	IPR018883,IPR036398	FN961_01780
3_1	AF4	F3BG83-F1	Pseudoalteromonas distincta	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	PH505_ag00640
3_1	AF4	A0A562T9J6-F1	Roseibium hamelinense	97.0	Cadmium carbonic anhydrase-like repeat protein	IPR018883	JM93_01279
3_1	AF4	A0A2N7HVK0-F1	Vibrio tasmaniensis	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCT76_20910
3_1	AF4	A0A4U6AEP5-F1	Rhizobiaceae bacterium	97.0	Cadmium carbonic anhydrase	IPR018883	FDR95_19220
3_1	AF4	A0A318V7A3-F1	Marinomonas alcarazii	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	DFP75_102573
3_1	AF4	A0A1A6KSZ3-F1	Vibrio sp	97.0	Carbonic anhydrase	IPR018883,IPR036398	A9264_05815
3_1	AF4	A0A2E1RXG2-F1	Rhodobacteraceae bacterium	97.0	Carbonate dehydratase	IPR018883,IPR036398	CML57_01380
3_1	AF4	A0A1Y5S412-F1	Oceanibacterium hippocampi	97.0	Cadmium carbonic anhydrase	IPR018883	OCH7691_00999
3_1	AF4	A0A1N7JI91-F1	Oleibacter marinus	97.0	Secreted protein	IPR018883,IPR036398	SAMN05421686_10223
3_1	AF4	A0A4V5NVC8-F1	Ferrimonas sediminicola	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	FCL40_09440
3_1	AF4	A0A7W2SBG6-F1	Colwellia sp	97.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	H4J46_08240
3_1	AF4	A0A2D8ADB8-F1	Oleibacter sp	96.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	CMI13_11915
3_1	AF4	A0A1M3PKU7-F1	Rhodospirillales bacterium	96.9	Cadmium carbonic anhydrase	IPR018883	BGP12_14105
3_1	AF4	A0A7C2RR43-F1	bacterium	96.9	Cadmium carbonic anhydrase	IPR018883	ENO09_05000
3_1	AF4	A0A2D6DBI0-F1	Marinomonas sp	96.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	DSY85_17100
3_1	AF4	A0A1V3RVU2-F1	Hydrogenophaga sp	96.9	Lipoprotein	IPR018883,IPR036398	B0E41_19365
3_1	AF4	A0A2A4S769-F1	Rhodobiaceae bacterium	96.9	CHRD domain-containing protein	IPR018883,IPR036398	COB70_03960
3_1	AF4	A0A424LS07-F1	Gammaproteobacteria bacterium	96.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	CBE03_004065
3_1	AF4	A0A4V5QYD3-F1	Vibrio kanaloae	96.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	FCV50_18160 FCV52_19200
3_1	AF4	A0A1Y6BK61-F1	Alteromonadaceae bacterium	96.9	Cadmium carbonic anhydrase repeat-containing protein	IPR018883,IPR036398	SAMN02745866_00995
3_1	AF4	A0A399R781-F1	Henriciella mobilis	96.9	Cadmium carbonic anhydrase	IPR018883	D1223_15215
3_1	AF4	A0A2H0DFI3-F1	Gammaproteobacteria bacterium	96.9	Cadmium carbonic anhydrase	IPR018883	COW84_05575
3_1	AF4	A0A6F8PUZ7-F1	Thiosulfatimonas sediminis	96.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	THMIRHAS_12300
3_1	AF4	A0A0P1G5I0-F1	Tropicibacter naphthalenivorans	96.9	Cadmium carbonic anhydrase	IPR018883	TRN7648_01184
3_1	AF4	A0A345J2G3-F1	Malaciobacter mytili	96.9	Signal peptide protein	IPR018883,IPR036398	AMYT_0389
3_1	AF4	A0A5S3RX70-F1	Pseudoalteromonas sp	96.9	Secreted protein	IPR018883	CWB85_00055
3_1	AF4	B8EFK7-F1	strain OS223	96.9	Carbonic anhydrase	IPR018883,IPR036398	Sbal223_4342
3_1	AF4	A0A1C3IKB4-F1	Vibrio atlanticus	96.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	VAT7223_00870
3_1	AF4	G4QE78-F1	Glaciecola nitratireducens 	96.9	Secreted protein	IPR018883,IPR036398	GNIT_3258
3_1	AF4	A0A0F4RJL2-F1	Loktanella sp	96.9	Secreted protein	IPR018883,IPR036398	TW80_12720
3_1	AF4	G7EXF5-F1	Pseudoalteromonas sp	96.9	Secreted protein	IPR018883	P20311_3389
3_1	AF4	A0A5P9EVL0-F1	Microbulbifer sp	96.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	FIU95_07580
3_1	AF4	A0A0S2K106-F1	Pseudoalteromonas phenolica	96.9	Cadmium carbonic anhydrase	IPR018883	PP2015_1461
3_1	AF4	A0A7C9P8T9-F1	Sulfuriferula multivorans	96.9	Cadmium carbonic anhydrase	IPR018883	GZ085_11125
3_1	AF4	A0A7W2MC22-F1	Colwellia sp	96.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	H4J41_08500
3_1	AF4	A0A2G6HM93-F1	Thiothrix nivea	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	CSA79_05750
3_1	AF4	A0A7W3X8Y3-F1	Psychromonas sp	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	H5084_01440
3_1	AF4	A0A1E3WP22-F1	Vibrio scophthalmi	96.8	Fungalysin	IPR018883	VSF3289_01512
3_1	AF4	A0A7Y4A6W2-F1	Vibrio sp	96.8	Cell surface protein	IPR018883,IPR036398	F0231_08835
3_1	AF4	A0A1M4SRU2-F1	Marinomonas polaris	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	SAMN02745753_00106
3_1	AF4	A0A7W2SP59-F1	Colwellia sp	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	H4J59_07175
3_1	AF4	A0A4P9J7H1-F1	Pseudoalteromonas distincta	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	FFU37_20005
3_1	AF4	A0A1M5Z5J9-F1	Ferrimonas marina	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	SAMN02745129_4691
3_1	AF4	A0A367X9F0-F1	Thalassospira profundimaris	96.8	Catalase	IPR018883,IPR036398	TH30_03625
3_1	AF4	A0A1R1MGM7-F1	Motiliproteus sp	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	BGP75_00730
3_1	AF4	A0A2K9LHM4-F1	Ketobacter alkanivorans	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	Kalk_00465
3_1	AF4	A0A0N1EVI8-F1	Pseudoalteromonas porphyrae	96.8	Secreted protein	IPR018883,IPR036398	ADS77_07645
3_1	AF4	A0A7W4A8B1-F1	Pseudoalteromonas sp	96.8	Secreted protein	IPR018883,IPR036398	H5180_06730
3_1	AF4	A0A2M8K4T2-F1	Marinomonas sp	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	TY87_13050
3_1	AF4	A0A4R3PQN2-F1	Vibrio crassostreae	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	VCR5J5_240318
3_1	AF4	A0A6S6SK74-F1	uncultured Sulfurovum	96.8	Superoxide dismutase	IPR018883,IPR036398	HELGO_WM2778
3_1	AF4	A0A3B0ZXZ2-F1	hydrothermal vent	96.8	Cadmium carbonic anhydrase	IPR018883	MNBD_GAMMA16-1254
3_1	AF4	A0A7Z7ESV5-F1	Pseudidiomarina aestuarii	96.8	Secreted protein	IPR018883	CWE22_09170
3_1	AF4	A0A0F9XIV6-F1	marine sediment	96.8	CHRD domain-containing protein	IPR018883	LCGC14_0139890
3_1	AF4	E3BNS4-F1	Vibrio caribbeanicus	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	VIBC2010_14824
3_1	AF4	A0A1L8CKP7-F1	Mariprofundus micogutta	96.8	Signal peptide protein	IPR018883,IPR036398	MMIC_P0420
3_1	AF4	A0A2G2LN91-F1	Methylophaga sp	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	COA83_08475
3_1	AF4	A0A1I1KL32-F1	Pseudoalteromonas denitrificans	96.8	Superoxide dismutase	IPR018883,IPR036398	SAMN02745724_02020
3_1	AF4	A0A0H2MU60-F1	Kiloniella spongiae	96.8	FTP domain-containing protein	IPR018883,IPR036398	WH96_13800
3_1	AF4	A0A7Y4BUJ0-F1	Vibrio crassostreae	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	EDB36_1011165 F0248_02975
3_1	AF4	A0A128F6Z3-F1	Grimontia celer	96.8	Cadmium carbonic anhydrase	IPR018883,IPR036398	GCE9029_03008
3_1	AF4	A9L6N8-F1	strain OS195	96.8	Carbonic anhydrase	IPR018883,IPR036398	Sbal195_4665
3_1	AF4	A0A2E2G5H5-F1	Oceanospirillaceae bacterium	96.8	CHRD domain-containing protein	IPR018883,IPR036398	CMI07_09030
3_1	AF4	A0A222GAW0-F1	Cognaticolwellia beringensis	96.8	Superoxide dismutase	IPR018883,IPR036398	B5D82_14285
3_1	AF4	U1JGJ1-F1	Pseudoalteromonas citrea	96.8	Cadmium carbonic anhydrase	IPR018883	PCIT_01113
3_1	AF4	B7VSL9-F1	strain LGP32	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	VS_II0836
3_1	AF4	A0A1C3JSZ2-F1	Marinomonas gallaica	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	MGA5115_02358
3_1	AF4	A0A7X4AAN5-F1	Acidobacteria bacterium	96.7	Cadmium carbonic anhydrase	IPR018883	F4198_06225
3_1	AF4	A0A4R2FLA0-F1	Vibrio crassostreae	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	EDB37_1003196
3_1	AF4	A0A4R6XEX3-F1	Marinomonas communis	96.7	Cadmium carbonic anhydrase-like repeat protein	IPR018883,IPR036398	C8D85_0997
3_1	AF4	E8LT86-F1	Vibrio brasiliensis	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	VIBR0546_11712
3_1	AF4	A0A510IST1-F1	Microbulbifer sp	96.7	Superoxide dismutase	IPR018883,IPR036398	GL2_18920
3_1	AF4	A0A2T6B2K7-F1	Allosediminivita pacifica	96.7	Cadmium carbonic anhydrase-like repeat protein	IPR018883	C8N44_105151
3_1	AF4	A0A2G4AZJ8-F1	Vibrio splendidus	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	CWO28_09240 VSPL_24620
3_1	AF4	A0A3S9Q4F9-F1	Colwellia sp	96.7	CHRD domain-containing protein	IPR018883,IPR036398	EKO29_06125
3_1	AF4	A0A2T3JBQ7-F1	Photobacterium phosphoreum	96.7	FTP domain-containing protein	IPR018883,IPR036398	C9J18_20780
3_1	AF4	A0A291G158-F1	Phaeobacter piscinae	96.7	CHRD domain-containing protein	IPR018883,IPR036398	PhaeoP13_01990
3_1	AF4	A0A6G8AD04-F1	Acidovorax sp	96.7	Carbonic anhydrase	IPR018883,IPR036398	G7045_00955
3_1	AF4	A0A558IG62-F1	Pseudoalteromonas neustonica	96.7	Carbonic anhydrase	IPR018883,IPR036398	FQP85_19745
3_1	AF4	A0A1Y5FS45-F1	Gammaproteobacteria bacterium	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	A9Q89_09040
