B8A342,DUF3741 domain-containing protein,Zea mays,IPR032795,imex:IM-29553|pubmed:36581701
Q8NC60,Nitric oxide-associated protein 1,Homo sapiens,IPR030378|IPR006073|IPR052807|IPR048422|IPR027417,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8VDD5,Myosin-9,Mus musculus,IPR000048|IPR036961|IPR001609|IPR008989|IPR002928|IPR027417|IPR004009,imex:IM-24272|pubmed:26496610
Q8WUA2,Peptidyl-prolyl cis-trans isomerase-like 4,Homo sapiens,IPR035542|IPR029000|IPR002130|IPR035538|IPR012677|IPR035979|IPR000504,imex:IM-30059|pubmed:39251607
Q8WUK0,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1,Homo sapiens,IPR000340|IPR029021|IPR042165|IPR044596|IPR016130|IPR000387|IPR020422,doi:10.1016/j.molcel.2016.06.033|imex:IM-26449|pubmed:27499296
Q8WYQ5,Microprocessor complex subunit DGCR8,Homo sapiens,IPR040375|IPR014720|IPR001202|IPR036020,imex:IM-30059|pubmed:39251607
Q92552,Small ribosomal subunit protein mS27,Homo sapiens,IPR034913|IPR002885|IPR019266|IPR011990,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q92665,Small ribosomal subunit protein mS31,Homo sapiens,IPR026299,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q969Z0,FAST kinase domain-containing protein 4,Homo sapiens,IPR013579|IPR050870|IPR010622|IPR013584,imex:IM-30059|pubmed:39251607
Q96EL2,Small ribosomal subunit protein uS3m,Homo sapiens,IPR026146,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96EY7,Small ribosomal subunit protein mS39,Homo sapiens,IPR002885|IPR037387|IPR055063|IPR011990,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96EY7-2,Isoform 2 of Small ribosomal subunit protein mS39,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q96PU8,KH domain-containing RNA-binding protein QKI,Homo sapiens,IPR045071|IPR055256|IPR004087|IPR036612|IPR032367|IPR032377,imex:IM-30059|pubmed:39251607
Q96Q11-2,Isoform 2 of CCA tRNA nucleotidyltransferase 1, mitochondrial,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q99714,3-hydroxyacyl-CoA dehydrogenase type-2,Homo sapiens,IPR036291|IPR020904|IPR002347,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-12139|imex:IM-25778|imex:IM-29278|pubmed:18984158|pubmed:28514442|pubmed:33961781
Q99959,Plakophilin-2,Homo sapiens,IPR011989|IPR016024|IPR000225|IPR028435,imex:IM-12139|pubmed:18984158
Q9BQ52,Zinc phosphodiesterase ELAC protein 2,Homo sapiens,IPR036866|IPR047151|IPR027794,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9BVQ7,ATPase family gene 2 protein homolog B,Homo sapiens,IPR003593|IPR050168|IPR041569|IPR003959|IPR003960|IPR027417,imex:IM-30175|pubmed:38554706
Q9BVS5,tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial,Homo sapiens,IPR029063|IPR054151|IPR049470|IPR014816,imex:IM-26301|pubmed:29568061
Q9BW19,Kinesin-like protein KIFC1,Homo sapiens,IPR027640|IPR019821|IPR001752|IPR036961|IPR027417,imex:IM-12139|pubmed:18984158
Q9BYN8,Small ribosomal subunit protein mS26,Homo sapiens,IPR026140,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9C002,Cytochrome c oxidase associated subunit FA4L3,Homo sapiens,IPR010530,doi:10.1016/j.molcel.2016.06.033|imex:IM-26449|pubmed:27499296
Q9C029,E3 ubiquitin-protein ligase TRIM7,Homo sapiens,IPR001870|IPR043136|IPR003879|IPR013320|IPR006574|IPR003877|IPR050143|IPR000315|IPR020457|IPR001841|IPR013083|IPR017907,imex:IM-25472|pubmed:32296183
Q9CU62,Structural maintenance of chromosomes protein 1A,Mus musculus,IPR027417|IPR003395|IPR024704|IPR028468|IPR010935|IPR036277,imex:IM-24272|pubmed:26496610
Q9EPK7,Exportin-7,Mus musculus,IPR011989|IPR016024|IPR001494|IPR057947|IPR044189,imex:IM-26378|pubmed:29748336|pubmed:unassigned1673
Q9H078,Mitochondrial disaggregase,Homo sapiens,IPR003593|IPR002110|IPR036770|IPR003959|IPR019489|IPR001270|IPR050130|IPR027417,imex:IM-12139|pubmed:18984158
Q9H857,5'-nucleotidase domain-containing protein 2,Homo sapiens,IPR036412|IPR008380|IPR023214|IPR016695,imex:IM-12139|pubmed:18984158
Q9HA77,Probable cysteine--tRNA ligase, mitochondrial,Homo sapiens,IPR015803|IPR024909|IPR014729|IPR032678|IPR009080,imex:IM-12139|pubmed:18984158
Q9JL61,DNA-binding protein Rfx5,Mus musculus,IPR003150|IPR039779|IPR029298|IPR036388|IPR036390,imex:IM-24272|pubmed:26496610
Q9NP81,Serine--tRNA ligase, mitochondrial,Homo sapiens,IPR002314|IPR006195|IPR045864|IPR002317|IPR042103|IPR033729|IPR010978,imex:IM-12139|pubmed:18984158
Q9NQB0,Transcription factor 7-like 2,Homo sapiens,IPR027397|IPR013558|IPR009071|IPR036910|IPR024940,imex:IM-26691|pubmed:30833792
Q9NQT4,Exosome complex component RRP46,Homo sapiens,IPR001247|IPR015847|IPR036345|IPR027408|IPR020568|IPR050080,imex:IM-30059|pubmed:39251607
Q9NWT6,Hypoxia-inducible factor 1-alpha inhibitor,Homo sapiens,IPR041667|IPR027452|IPR003347|IPR014710,imex:IM-22750|pubmed:26972000
Q9NWT8,Small ribosomal subunit protein bS22, mitochondrial,Homo sapiens,IPR013177,imex:IM-26301|pubmed:29568061
Q9NY65,Tubulin alpha-8 chain,Homo sapiens,IPR002452|IPR008280|IPR000217|IPR037103|IPR018316|IPR036525|IPR023123|IPR017975|IPR003008,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NYY8,FAST kinase domain-containing protein 2, mitochondrial,Homo sapiens,IPR013579|IPR050870|IPR010622|IPR013584,imex:IM-30059|pubmed:39251607
Q9UNX3,Ribosomal protein uL24-like,Homo sapiens,IPR005824|IPR014722|IPR005825|IPR005756|IPR041988|IPR008991,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9VEN1,Filamin-A,Drosophila melanogaster,IPR001589|IPR001715|IPR036872|IPR044801|IPR017868|IPR001298|IPR013783|IPR014756,imex:IM-16527|pubmed:25294943
Q9VH81,protein-serine/threonine phosphatase,Drosophila melanogaster,IPR004843|IPR029052|IPR041753|IPR013235|IPR051134|IPR006186|IPR011990|IPR019734,imex:IM-16527|pubmed:25294943
Q9VME1,Brak nazwy,Drosophila melanogaster,Brak InterPro kodów dla tego białka.,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q9VV44,Brak nazwy,Drosophila melanogaster,IPR050468|IPR000618,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q9Y291,Small ribosomal subunit protein mS33,Homo sapiens,IPR013219,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y2Q9,Small ribosomal subunit protein bS1m,Homo sapiens,IPR019375,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y2R9,Small ribosomal subunit protein uS7m,Homo sapiens,IPR000235|IPR023798|IPR036823,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y399,Small ribosomal subunit protein uS2m,Homo sapiens,IPR001865|IPR005706|IPR018130|IPR023591,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y3A5,Ribosome maturation protein SBDS,Homo sapiens,IPR018023|IPR036786|IPR002140|IPR039100|IPR046928|IPR018978|IPR037188|IPR019783,imex:IM-30059|pubmed:39251607
Q9Y3D3,Small ribosomal subunit protein bS16m,Homo sapiens,IPR000307|IPR023803,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y3D5,Small ribosomal subunit protein bS18m,Homo sapiens,IPR001648|IPR018275|IPR036870,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y3D9,Small ribosomal subunit protein mS23,Homo sapiens,IPR059242|IPR023611|IPR019520,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y3I0,RNA-splicing ligase RTCB,Homo sapiens,IPR001233|IPR036025|IPR027513,imex:IM-12139|pubmed:18984158
Q9Y676,Small ribosomal subunit protein mS40,Homo sapiens,IPR040054|IPR001648|IPR036870,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9Y6H1,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2,Homo sapiens,IPR010625|IPR055304,doi:10.1016/j.molcel.2016.06.033|imex:IM-26449|pubmed:27499296
chebi:"CHEBI:15414"
intact:EBI-11701142
intact:EBI-11701147
intact:EBI-11701296
intact:EBI-11701334
intact:EBI-11701336
intact:EBI-16769503
intact:EBI-25396136
intact:EBI-827965
